TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude
1,0.1,73,20,24,54.18336812,34.69151705
2,0.1,33,19,19,-30.02294543,-156.915471
3,0.294805195,98,10,12,-31.5194563,127.1652763
4,0.459307359,68,20,20,-58.92487163,-94.74323796
5,0.602164502,76,13,21,-39.96163765,-50.80590308
6,0.980562771,13,17,25,-6.755865211,-177.9699177
7,0.870562771,80,17,19,-72.48035667,-162.239668
8,1.114761905,61,19,24,66.19953914,-67.92225945
9,0.980562771,84,11,23,-11.09737593,-122.0971187
10,1.357186147,82,20,15,58.34922977,125.8963249
11,1.231645022,42,18,12,31.78219519,-136.7079179
12,1.738138528,38,12,25,49.5527074,-16.55889454
13,1.560649351,97,15,18,81.27083609,150.1342356
14,2.177142857,19,11,18,-1.229494124,-45.62254276
15,1.932943723,49,13,18,-74.20794777,61.12047444
16,2.613593074,42,15,23,35.68501386,167.9380228
17,2.067142857,10,16,19,-31.1728593,-76.67553985
18,3.037056277,44,16,13,74.96023019,89.97552051
19,2.287142857,69,11,22,64.17132278,-90.71801725
20,3.147056277,45,14,12,14.35200002,-51.01208948
21,2.503593074,70,12,14,24.71925652,81.25599743
22,3.540995671,69,11,25,-74.2621675,44.30535653
23,2.723593074,82,16,14,50.55889041,160.6832497
24,3.863116883,71,11,11,79.99709249,97.14070446
25,2.833593074,84,11,19,-65.88917104,64.42142294
26,4.200779221,91,20,20,-69.91885535,13.46896654
27,3.147056277,99,12,10,17.06144022,138.7733985
28,4.557532468,62,15,22,47.88238175,7.660521549
29,3.350519481,66,20,21,54.82365116,-133.6614827
30,4.797402597,72,12,16,0.757443728,-39.88683566
31,3.650995671,40,17,17,35.09859066,85.30998246
32,5.017402597,71,20,20,-19.90466117,98.47241726
33,4.027619048,56,17,16,-39.97354144,-55.8066248
34,5.330865801,51,19,14,5.49724825,55.67885533
35,4.447532468,20,13,25,-25.40180573,55.48389888
36,5.440865801,84,16,20,-83.07863729,-143.9726142
37,4.687402597,13,10,14,73.39866317,97.25146941
38,5.550865801,40,13,16,-52.74778468,-22.34001573
39,4.797402597,15,13,20,-39.67163928,-109.3514524
40,6.056580087,62,12,12,-83.27481537,15.30310729
41,4.907402597,63,20,23,58.8776763,-167.0418711
42,6.432424242,15,20,17,19.17397905,-91.47545477
43,5.220865801,11,12,25,-88.33167043,18.49093485
44,6.852337662,71,20,14,-66.79503871,-136.0763397
45,5.660865801,77,16,22,76.29551035,170.1080833
46,7.072337662,95,15,13,-74.76857982,-130.9807946
47,5.946580087,77,12,20,-37.7168921,32.98223622
48,7.418658009,93,14,18,-75.41502906,41.26975185
49,6.166580087,79,13,21,-37.20496018,-4.044982186
50,7.645541126,49,13,16,-36.03785637,15.1963197
51,6.276580087,27,12,13,65.47054944,65.72382853
52,7.975541126,18,16,18,-12.97413107,-101.6686268
53,6.644545455,36,17,13,25.16458447,131.9879296
54,8.148701299,87,16,16,-60.03334879,122.4058515
55,6.962337662,64,15,20,-49.6059937,67.92999332
56,8.478701299,10,19,11,5.231078235,-107.7587888
57,7.072337662,25,11,25,43.54240079,16.15949041
58,8.721125541,10,14,18,51.82660213,54.30256554
59,7.528658009,77,10,19,21.98333568,-11.8459982
60,9.093419913,55,15,11,-55.28268014,14.48007881
61,7.755541126,22,20,23,-32.01627504,42.57061188
62,9.350606061,87,14,21,85.42837506,21.68435626
63,7.865541126,14,19,15,84.62820163,15.35178324
64,9.657965368,38,12,14,17.32757832,87.08880722
65,7.975541126,68,16,21,65.57971619,-110.4556977
66,9.877965368,37,18,11,-16.42168125,22.1936896
67,8.258701299,38,14,12,-26.2312513,-94.73387901
68,10.02082251,55,12,16,-72.31925496,-56.28662089
69,8.368701299,49,12,10,-66.6554618,-22.30227136
70,10.16800866,21,10,24,88.74267637,-173.249319
71,8.721125541,56,12,14,-37.86927966,83.55272489
72,10.40177489,26,18,18,-10.37500771,-37.87417691
73,8.954891775,71,15,20,-26.11135199,-113.5896197
74,10.76718615,60,15,22,-78.89433388,-29.12795489
75,9.240606061,64,17,17,-5.297044609,6.931628084
76,11.11705628,46,10,11,39.42414995,-153.8956201
77,9.767965368,20,13,15,-6.732558649,-176.4844155
78,11.22705628,27,14,16,-86.65299142,9.113636595
79,10.16800866,37,10,23,-29.64727837,-11.56266093
80,11.5682684,43,15,12,-44.02831537,34.38420034
81,10.51177489,51,11,16,8.275315664,-110.9685058
82,11.6782684,35,11,23,88.95140827,-84.67102274
83,10.87718615,65,10,18,-81.32043279,12.49994584
84,12.06965368,75,10,23,-79.77598955,29.21503124
85,11.00705628,32,19,20,35.90858326,-143.9520089
86,12.17965368,73,14,11,61.80002689,109.9971818
87,11.33705628,89,13,18,-60.78541833,-33.26619153
88,12.60134199,23,11,22,-34.66505137,162.6646312
89,11.44705628,82,12,11,32.33192679,148.984507
90,12.71134199,65,13,19,31.25269415,77.94817008
91,11.82545455,97,11,14,-33.88346514,-70.88762161
92,13.06632035,100,20,18,10.53658797,-140.6359484
93,11.95965368,88,18,18,80.41852595,52.8761655
94,13.32350649,11,18,16,48.04653469,-5.503285007
