TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
5,0.1,85,20,18,-81.89765706204895,161.46460676934356,15161.0,10.0,3.0,6.0,8.0,18020.0,1.8,1055.0,13036.54,3
7,0.1,15,12,32,-9.984804946009305,-97.54879466432531,15004.0,10.0,3.0,6.0,8.0,18020.0,1.52,237.0,12709.26,3
2,0.1,23,10,51,-45.31494914646066,39.927157066977855,9542.0,19.0,3.0,10.0,10.0,18050.0,0.72,399.0,12794.82,4
8,0.21920529801324504,99,18,37,67.63216060541569,6.647753420475141,5174.0,10.0,3.0,6.0,8.0,18020.0,3.7,1197.0,13093.91,3
3,0.1,62,13,84,29.60322060232592,141.1436598754653,6301.0,18.0,5.0,1.0,6.0,17989.0,1.33,695.0,12870.7,5
9,0.1,35,16,67,-87.8551680191638,164.749149887724,4813.0,19.0,3.0,10.0,10.0,18050.0,0.72,615.0,12881.22,4
1,0.1,60,16,76,80.78410228262933,101.44403946120104,3288.0,10.0,3.0,6.0,8.0,18020.0,1.25,756.0,12916.78,3
17,0.5,71,17,20,-65.91079646646709,87.0777088040029,12583.0,18.0,5.0,1.0,6.0,17989.0,0.32,798.0,12911.6,5
10,0.1,95,12,87,63.238749767316676,-111.77566709722599,7815.0,18.0,5.0,1.0,6.0,17989.0,1.23,1057.0,13015.47,5
4,0.1,58,19,86,-79.29927478361748,24.633504142049105,5806.0,19.0,3.0,10.0,10.0,18050.0,4.3,944.0,13013.89,4
13,0.4616556291390729,41,15,27,-5.383386647353333,74.75684405704703,6907.0,10.0,3.0,6.0,8.0,18020.0,2.7,541.0,12831.21,3
11,0.32920529801324505,30,10,62,0.39873063539609177,-80.76567547624099,14252.0,10.0,3.0,6.0,8.0,18020.0,2.95,390.0,12770.89,3
6,0.1,94,11,77,-69.85491713852355,-52.312980870302724,15986.0,18.0,5.0,1.0,6.0,17989.0,1.48,1045.0,13010.74,5
12,0.38813559322033897,98,18,82,82.45214784052897,128.10662493659123,15484.0,19.0,3.0,10.0,10.0,18050.0,1.15,1454.0,13216.95,4
22,0.61,53,13,55,62.39864508806511,-0.11167541348251575,4583.0,18.0,5.0,1.0,6.0,17989.0,0.87,596.0,12830.96,5
23,0.8513859686762497,95,15,17,-42.63451017229762,-20.91652815791994,7042.0,19.0,3.0,10.0,10.0,18050.0,0.24,1385.0,13189.07,4
15,0.5716556291390729,99,10,81,-30.75082217347955,-24.841325550379764,15321.0,10.0,3.0,6.0,8.0,18020.0,1.33,1149.0,13074.0,3
18,0.61,33,12,79,-5.122645020687727,-127.44685842632902,15128.0,18.0,5.0,1.0,6.0,17989.0,1.11,375.0,12742.63,5
20,0.6310469856254023,67,12,77,-31.01726003127815,163.81580648000784,6892.0,19.0,3.0,10.0,10.0,18050.0,3.85,991.0,13032.56,4
19,0.6816556291390728,70,12,63,44.68078314158919,92.40994842212126,1162.0,10.0,3.0,6.0,8.0,18020.0,6.3,842.0,12952.69,3
21,0.6816556291390728,100,10,66,-35.45132396813911,-148.11186446377715,14136.0,10.0,3.0,6.0,8.0,18020.0,3.14,1160.0,13078.94,3
28,0.8676190476190476,57,11,44,34.01704684318776,-117.10444708707882,11039.0,18.0,5.0,1.0,6.0,17989.0,0.7,638.0,12847.71,5
14,0.72,64,16,56,-59.38101453030401,-56.20235218883174,16245.0,18.0,5.0,1.0,6.0,17989.0,1.08,720.0,12880.62,5
16,0.5210469856254023,37,19,90,-24.02693382605625,-21.146913218448816,8425.0,19.0,3.0,10.0,10.0,18050.0,0.97,671.0,12903.69,4
30,1.0032974395788465,99,13,28,23.731860137395273,131.57190821325497,5988.0,18.0,5.0,1.0,6.0,17989.0,0.39,1102.0,13033.22,5
27,0.9873551110043578,85,20,64,37.232470153438726,-59.84797301004308,10062.0,10.0,3.0,6.0,8.0,18020.0,1.05,1055.0,13036.32,3
29,1.1813859686762498,50,20,33,68.05767627527155,-28.027611481504778,14603.0,19.0,3.0,10.0,10.0,18050.0,0.35,850.0,12975.11,4
25,1.0973551110043578,61,11,42,54.40935009809718,159.33215642560646,3600.0,10.0,3.0,6.0,8.0,18020.0,4.2,737.0,12910.06,3
36,1.2232974395788467,36,19,44,-36.30670088133746,118.73149510353329,10420.0,18.0,5.0,1.0,6.0,17989.0,0.62,415.0,12758.49,5
26,0.9613859686762497,76,17,78,-29.695687128795576,-138.33398410604374,2702.0,19.0,3.0,10.0,10.0,18050.0,1.1,1158.0,13098.53,4
33,1.0713859686762497,92,15,63,-27.867672446116302,159.03110665580698,7472.0,19.0,3.0,10.0,10.0,18050.0,3.15,1346.0,13174.35,4
40,1.3149716913152387,55,14,37,-43.19356913501421,-68.03257359772957,18964.0,10.0,3.0,6.0,8.0,18020.0,0.61,689.0,12889.78,3
31,1.0973551110043578,53,13,82,56.474963812025806,-66.04691383810969,8008.0,10.0,3.0,6.0,8.0,18020.0,3.9,661.0,12879.57,3
38,1.1132974395788466,28,17,86,67.46130189132555,-128.43514173481788,7254.0,18.0,5.0,1.0,6.0,17989.0,1.37,325.0,12722.71,5
24,1.1132974395788466,15,13,50,-6.323772647989571,-93.8050164684081,15282.0,18.0,5.0,1.0,6.0,17989.0,0.96,178.0,12663.79,5
39,1.5002467281699208,58,11,14,-81.30546442872735,-51.21512662833604,4502.0,19.0,3.0,10.0,10.0,18050.0,0.7,864.0,12980.81,4
35,1.4249716913152388,78,10,19,67.18652896619903,-1.2951941591288971,5482.0,10.0,3.0,6.0,8.0,18020.0,1.9,918.0,12981.77,3
43,1.534971691315239,12,13,11,-9.374984070747729,13.049368872228172,10927.0,10.0,3.0,6.0,8.0,18020.0,0.52,210.0,12698.16,3
45,1.4444029672170378,81,10,29,23.751722741136064,-137.2394330034327,11747.0,18.0,5.0,1.0,6.0,17989.0,0.41,901.0,12952.82,5
41,1.5002467281699208,35,17,27,-15.672124035155164,158.654082099932,8432.0,19.0,3.0,10.0,10.0,18050.0,0.38,625.0,12885.11,4
46,1.534971691315239,99,16,41,73.73968419397829,-112.60353158267867,5837.0,10.0,3.0,6.0,8.0,18020.0,0.67,1185.0,13088.2,3
44,1.644971691315239,24,11,15,-5.223711217652578,-16.094558875470113,12556.0,10.0,3.0,6.0,8.0,18020.0,0.71,330.0,12746.21,3
