TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1,0.1,73,20,24,54.183368117353695,34.691517045155734,2481.0,31.0,1.0,10.0,1.0,912.0,0.78,3.46,642.5,5
2,0.1,33,19,19,-30.022945432247624,-156.91547098621655,4193.0,35.0,4.0,1.0,8.0,919.0,0.29,4.15,649.24,3
3,0.1,98,10,12,-31.51945630194642,127.16527627432174,2954.0,35.0,4.0,1.0,8.0,919.0,0.2,11.86,651.06,3
4,0.1,68,20,20,-58.92487163409851,-94.74323795512655,7775.0,35.0,4.0,1.0,8.0,919.0,0.43,8.36,654.55,3
5,0.1,76,13,21,-39.96163765148609,-50.80590307876551,14416.0,31.0,1.0,10.0,1.0,912.0,0.5,2.82,654.09,5
6,0.21000000000000002,13,17,25,-6.75586521112416,-177.96991767010124,3788.0,35.0,4.0,1.0,8.0,919.0,0.39,1.73,647.9,3
7,0.21000000000000002,80,17,19,-72.4803566731605,-162.2396680376914,4926.0,35.0,4.0,1.0,8.0,919.0,0.32,9.77,652.23,3
8,0.1,61,19,24,66.1995391436144,-67.92225945284545,3493.0,31.0,1.0,10.0,1.0,912.0,1.38,3.12,643.56,5
9,0.32000000000000006,84,11,23,-11.097375931175222,-122.09711870862284,8342.0,35.0,4.0,1.0,8.0,919.0,0.39,10.19,655.84,3
10,0.2085972850678733,82,20,15,58.349229773643344,125.89632488210333,3609.0,31.0,1.0,10.0,1.0,912.0,0.49,3.64,643.61,5
11,0.2085972850678733,42,18,12,31.782195186963662,-136.70791785698677,8003.0,31.0,1.0,10.0,1.0,912.0,0.29,2.64,647.55,5
12,0.1,38,12,25,49.55270739690698,-16.55889454485404,5178.0,47.0,7.0,7.0,8.0,908.0,0.96,6.54,643.68,4
13,0.3142857142857143,97,15,18,81.27083608967433,150.13423557775423,2026.0,31.0,1.0,10.0,1.0,912.0,1.04,3.44,642.11,5
14,0.1,19,11,18,-1.229494124118716,-45.62254275824793,10521.0,47.0,7.0,7.0,8.0,908.0,0.3,3.62,647.66,4
15,0.32000000000000006,49,13,18,-74.20794777190483,61.12047444028431,6711.0,35.0,4.0,1.0,8.0,919.0,0.39,6.01,652.53,3
16,0.3142857142857143,42,15,23,35.68501385978716,167.9380227693157,6977.0,31.0,1.0,10.0,1.0,912.0,0.75,2.34,646.54,5
17,0.1,10,16,19,-31.172859303894136,-76.67553985200745,15104.0,47.0,7.0,7.0,8.0,908.0,0.36,2.62,651.86,4
18,0.3142857142857143,44,16,13,74.96023019457618,89.97552051288613,1254.0,31.0,1.0,10.0,1.0,912.0,0.31,2.48,640.74,5
