TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterID,ENSEMBLE_predicted_DC
73,20,24,54.18336812,34.69151705,5,5
33,19,19,-30.02294543,-156.915471,3,3
98,10,12,-31.5194563,127.1652763,3,3
68,20,20,-58.92487163,-94.74323796,3,3
76,13,21,-39.96163765,-50.80590308,5,5
13,17,25,-6.755865211,-177.9699177,3,3
80,17,19,-72.48035667,-162.239668,3,3
61,19,24,66.19953914,-67.92225945,5,5
84,11,23,-11.09737593,-122.0971187,3,3
82,20,15,58.34922977,125.8963249,5,5
42,18,12,31.78219519,-136.7079179,5,5
38,12,25,49.5527074,-16.55889454,4,4
97,15,18,81.27083609,150.1342356,5,5
19,11,18,-1.229494124,-45.62254276,4,4
49,13,18,-74.20794777,61.12047444,3,3
42,15,23,35.68501386,167.9380228,5,5
10,16,19,-31.1728593,-76.67553985,4,4
44,16,13,74.96023019,89.97552051,5,5
69,11,22,64.17132278,-90.71801725,5,5
45,14,12,14.35200002,-51.01208948,4,4
70,12,14,24.71925652,81.25599743,4,4
69,11,25,-74.2621675,44.30535653,3,3
82,16,14,50.55889041,160.6832497,5,5
71,11,11,79.99709249,97.14070446,5,5
84,11,19,-65.88917104,64.42142294,3,3
91,20,20,-69.91885535,13.46896654,3,3
99,12,10,17.06144022,138.7733985,4,4
62,15,22,47.88238175,7.660521549,4,4
66,20,21,54.82365116,-133.6614827,5,5
72,12,16,0.757443728,-39.88683566,4,4
40,17,17,35.09859066,85.30998246,4,4
71,20,20,-19.90466117,98.47241726,3,3
56,17,16,-39.97354144,-55.8066248,4,4
51,19,14,5.49724825,55.67885533,4,4
20,13,25,-25.40180573,55.48389888,4,4
84,16,20,-83.07863729,-143.9726142,3,3
13,10,14,73.39866317,97.25146941,5,5
40,13,16,-52.74778468,-22.34001573,4,4
15,13,20,-39.67163928,-109.3514524,3,3
62,12,12,-83.27481537,15.30310729,3,3
63,20,23,58.8776763,-167.0418711,5,5
15,20,17,19.17397905,-91.47545477,5,5
11,12,25,-88.33167043,18.49093485,3,3
71,20,14,-66.79503871,-136.0763397,3,3
77,16,22,76.29551035,170.1080833,5,5
95,15,13,-74.76857982,-130.9807946,3,3
77,12,20,-37.7168921,32.98223622,4,4
93,14,18,-75.41502906,41.26975185,3,3
79,13,21,-37.20496018,-4.044982186,4,4
49,13,16,-36.03785637,15.1963197,4,4
27,12,13,65.47054944,65.72382853,5,5
18,16,18,-12.97413107,-101.6686268,3,3
36,17,13,25.16458447,131.9879296,4,4
87,16,16,-60.03334879,122.4058515,3,3
