TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,CpuTime,TotalLength,UserLatitude,UserLongitude,DataCenterID,VmID
1,73,20,24,3.388500389,45,54.18336812,34.69151705,5,5
2,33,19,19,3.588795518,83,-30.02294543,-156.915471,3,10
3,98,10,12,2.850740741,71,-31.5194563,127.1652763,3,11
4,68,20,20,7.574646465,99,-58.92487163,-94.74323796,3,5
5,76,13,21,3.588795518,62,-39.96163765,-50.80590308,5,7
6,13,17,25,1.227241379,31,-6.755865211,-177.9699177,3,11
7,80,17,19,1.111111111,10,-72.48035667,-162.239668,3,3
8,61,19,24,2.228339307,56,66.19953914,-67.92225945,5,11
9,84,11,23,4.447219447,58,-11.09737593,-122.0971187,3,5
10,82,20,15,5.155956323,88,58.34922977,125.8963249,5,7
11,42,18,12,3.002534503,76,31.78219519,-136.7079179,5,11
12,38,12,25,6.029082029,79,49.5527074,-16.55889454,4,5
13,97,15,18,4.48353236,86,81.27083609,150.1342356,5,8
14,19,11,18,3.098671775,90,-1.229494124,-45.62254276,4,13
15,49,13,18,2.343766234,31,-74.20794777,61.12047444,3,5
16,42,15,23,7.49972139,98,35.68501386,167.9380228,5,5
17,10,16,19,2.266666667,34,-31.1728593,-76.67553985,4,6
18,44,16,13,0.84,21,74.96023019,89.97552051,5,11
19,69,11,22,3.28353236,50,64.17132278,-90.71801725,5,6
20,45,14,12,2.960740741,91,14.35200002,-51.01208948,4,14
21,70,12,14,3.94982684,51,24.71925652,81.25599743,4,5
22,69,11,25,3.908278304,75,-74.2621675,44.30535653,3,8
23,82,16,14,0.746564496,19,50.55889041,160.6832497,5,11
24,71,11,11,5.961926962,78,79.99709249,97.14070446,5,5
25,84,11,19,2.740949203,68,-65.88917104,64.42142294,3,11
26,91,20,20,4.182958611,63,-69.91885535,13.46896654,3,6
27,99,12,10,3.596736597,47,17.06144022,138.7733985,4,5
28,62,15,22,3.424866514,52,47.88238175,7.660521549,4,6
29,66,20,21,2.378148148,60,54.82365116,-133.6614827,5,11
30,72,12,16,2.553224553,34,0.757443728,-39.88683566,4,5
31,40,17,17,6.655454545,87,35.09859066,85.30998246,4,5
32,71,20,20,4.181119038,63,-19.90466117,98.47241726,3,6
33,56,17,16,3.848735632,97,-39.97354144,-55.8066248,4,11
34,51,19,14,0.733333333,11,5.49724825,55.67885533,4,6
35,20,13,25,2.647619048,56,-25.40180573,55.48389888,4,9
36,84,16,20,0.6,15,-83.07863729,-143.9726142,3,11
37,13,10,14,1.96969697,18,73.39866317,97.25146941,5,3
38,40,13,16,7.479409479,98,-52.74778468,-22.34001573,4,5
39,15,13,20,0.79,20,-39.67163928,-109.3514524,3,11
40,62,12,12,5.116597119,87,-83.27481537,15.30310729,3,7
41,63,20,23,2.888275862,73,58.8776763,-167.0418711,5,11
42,15,20,17,7.435120435,97,19.17397905,-91.47545477,5,5
43,11,12,25,3.569706258,90,-88.33167043,18.49093485,3,11
44,71,20,14,2.428571429,37,-66.79503871,-136.0763397,3,6
45,77,16,22,3.432880154,66,76.29551035,170.1080833,5,8
46,95,15,13,6.130979021,80,-74.76857982,-130.9807946,3,5
47,77,12,20,1.28,32,-37.7168921,32.98223622,4,11
48,93,14,18,3.083591331,53,-75.41502906,41.26975185,3,7
49,79,13,21,0.775338442,20,-37.20496018,-4.044982186,4,11
50,49,13,16,2.740740741,74,-36.03785637,15.1963197,4,12
51,27,12,13,5.616760507,85,65.47054944,65.72382853,5,6
52,18,16,18,3.008547009,40,-12.97413107,-101.6686268,3,5
53,36,17,13,5.526806527,72,25.16458447,131.9879296,4,5
54,87,16,16,2.76,69,-60.03334879,122.4058515,3,11
55,64,15,20,0.933333333,14,-49.6059937,67.92999332,4,6
56,10,19,11,3.722492933,56,5.231078235,-107.7587888,5,6
57,25,11,25,3.363703704,85,43.54240079,16.15949041,4,11
58,10,14,18,6.578088578,86,51.82660213,54.30256554,4,5
59,77,10,19,1.929047619,29,21.98333568,-11.8459982,5,6
60,55,15,11,3.248043382,49,-55.28268014,14.48007881,3,6
61,22,20,23,1.72039072,16,-32.01627504,42.57061188,4,3
62,87,14,21,4.711064041,71,85.42837506,21.68435626,5,6
63,14,19,15,0.379310345,11,84.62820163,15.35178324,5,13
64,38,12,14,2.747474747,31,17.32757832,87.08880722,4,4
65,68,16,21,1.88,47,65.57971619,-110.4556977,5,11
66,37,18,11,2.910866911,33,-16.42168125,22.1936896,4,4
67,38,14,12,2.062049062,23,-26.2312513,-94.73387901,3,4
68,55,12,16,1.336206897,34,-72.31925496,-56.28662089,3,11
69,49,12,10,5.417333487,82,-66.6554618,-22.30227136,3,6
70,21,10,24,1.966871009,54,88.74267637,-173.249319,5,12
71,56,12,14,4.113442113,54,-37.86927966,83.55272489,3,5
72,26,18,18,3.385338442,85,-10.37500771,-37.87417691,4,11
73,71,15,20,5.068376068,66,-26.11135199,-113.5896197,3,5
74,60,15,22,3.474008551,73,-78.89433388,-29.12795489,3,9
75,64,17,17,7.517482517,98,-5.297044609,6.931628084,4,5
76,46,10,11,0.6,15,39.42414995,-153.8956201,5,11
77,20,13,15,3.436512998,93,-6.732558649,-176.4844155,3,12
78,27,14,16,5.217233621,79,-86.65299142,9.113636595,3,6
79,37,10,23,4.001928094,69,-29.64727837,-11.56266093,4,7
80,43,15,12,1.079365079,10,-44.02831537,34.38420034,4,3
81,51,11,16,6.027972028,79,8.275315664,-110.9685058,5,5
82,35,11,23,3.013333333,76,88.95140827,-84.67102274,5,11
83,65,10,18,1.986880244,30,-81.32043279,12.49994584,3,6
84,75,10,23,1.333333333,12,-79.77598955,29.21503124,3,3
