TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,CpuTime,TotalLength,UserLatitude,UserLongitude,GA_predicted_DC,SNAKE_predicted_DC,ENSEMBLE_predicted_DC,ENSEMBLE_predicted_VM,SNAKE_predicted_VM
1,11,20,48,7.766848612428307,48,76.52528951424836,71.53573931889974,4,4,4,3,1
2,59,10,57,6.078180440184543,57,-25.75494126255026,49.39712113535629,4,4,4,3,1
3,29,11,61,0.1827215790522979,61,-3.85721813480491,150.35199772981588,4,4,3,10,11
4,11,13,84,10.172247149265456,84,-39.39785173290901,-161.06292174997134,4,4,3,3,1
5,99,15,29,11.511992280650729,29,32.4124185059766,-145.84663979460322,5,5,5,3,1
6,30,20,100,7.824687505588656,100,11.78680718908619,59.16359110897375,4,4,4,3,3
7,81,17,100,7.248840822738891,100,76.93326044135875,172.0758769966371,4,4,5,3,3
8,68,10,48,2.8129035078896,48,-45.01592342028192,-70.27578780423521,4,4,3,3,5
9,71,10,10,9.68861490966352,10,83.94684561988987,62.801787910577445,5,5,5,3,1
10,39,15,98,13.96785686074833,98,20.57459734793447,-131.1485115085386,4,4,5,3,1
11,45,14,11,7.165210914047023,11,-47.1658949956523,-75.8853253299069,3,4,3,3,1
12,41,20,29,1.7191217884325845,29,-20.826817016569606,-7.1388628269344565,4,4,4,4,4
13,63,14,32,13.302722469771648,32,-64.37172824382702,104.59818922377995,3,3,3,3,1
14,66,14,65,10.602919322100895,65,-33.60768290938474,-135.69258348438046,4,4,3,3,1
15,26,12,37,13.504638136018956,37,-23.24592183013489,-168.98008309361646,3,3,3,3,1
16,96,13,83,9.32997627006201,83,-18.725173525174043,78.33003947790837,4,4,4,3,1
17,33,16,15,12.7419650445052,15,58.15125747557158,0.604707536373013,4,5,5,3,1
18,19,11,50,2.39933685476567,50,-49.99778749523588,-55.25106130379781,4,4,4,9,7
19,60,14,16,4.064996323692022,16,-78.61055563655829,121.01900599455917,3,3,3,1,1
20,19,15,36,10.9608774519219,36,46.71622808568512,129.17877087907237,4,4,5,3,1
21,26,14,21,1.823890471598664,21,-81.39093919255048,153.25715350131384,3,3,3,3,2
22,95,12,68,5.92213814565634,68,-19.774438469114244,116.16031396770472,4,4,3,3,2
23,98,17,56,3.650634558363739,56,63.417246913995626,127.50687964124307,4,4,5,3,4
24,50,16,55,2.892879077514661,55,-66.35947803702908,-81.29932051895597,4,4,3,7,5
25,22,12,69,14.193766164645163,69,-48.65354029305661,54.98186358033266,4,4,4,3,1
26,30,14,67,2.588177143045938,67,45.302541460496656,-140.89497817386672,4,4,5,9,9
27,49,13,23,8.15979290035728,23,-53.87999235972693,111.62741357037896,3,3,3,3,1
28,99,13,11,3.667720213376118,11,19.35226733431115,-66.07928577269472,5,5,5,1,1
29,67,19,51,9.742893408080736,51,-82.43369216902882,46.20488810980518,4,4,3,3,1
30,18,13,61,12.201721941588822,61,-54.67115145292197,167.80276487494348,4,4,3,3,1
31,96,17,41,7.343861802118242,41,86.61265250058634,166.8948289402881,5,5,5,3,1
32,83,17,70,2.1871941833296065,70,-72.73529878368046,-12.570159219846374,4,4,3,9,11
33,37,14,23,9.571364192863106,23,-80.77501568688041,154.53861790494818,3,3,3,3,1
34,30,15,41,14.33449593939083,41,-38.846991383236414,16.05175048774734,4,4,4,3,1
35,83,17,96,13.081563892548004,96,79.70461359021908,-127.7725434297837,5,4,5,3,1
36,79,15,36,6.261297561823974,36,-46.821970348870295,-49.61972772531445,4,4,4,3,1
37,22,17,77,1.254032473807678,77,-55.96074251471202,-86.05372555534078,4,4,3,9,11
38,84,17,55,10.72044457231145,55,8.035637454290509,-58.86378504807904,4,4,5,3,1
39,61,19,64,10.829070929910468,64,71.16715305044892,179.90180895790843,4,4,5,3,1
40,45,13,84,5.487680635176585,84,-26.94583364397002,157.01297195810758,4,4,3,3,3
41,16,13,23,1.193540449417982,23,47.21374070130702,-100.11846470893998,5,5,5,4,6
42,85,15,93,14.375669489511369,93,-88.03437874685507,110.49366013181935,4,4,3,3,1
43,100,19,15,4.895046079737171,15,51.74668744284975,-100.46397973175756,5,5,5,3,1
44,88,19,30,2.710870264549862,30,-54.3281526535991,-150.50404829193383,3,3,3,2,2
45,22,19,76,7.691043187457847,76,-25.99001532001884,119.69248599957444,4,4,3,3,1
46,25,16,24,7.59532745164545,24,-39.992997674155234,70.26272737511206,4,4,4,3,1
47,48,12,71,14.568068346295878,71,74.25670882238703,-85.08745422722359,5,4,5,3,1
48,70,17,40,0.6789210582336097,40,83.91501070950375,38.94079432488866,4,5,5,9,11
49,56,19,88,10.643547118600816,88,52.11509042070918,-28.967957925508784,4,4,5,3,1
50,43,11,48,3.0370280722182703,48,-52.43558934742135,121.27493588223956,4,4,3,4,4
51,47,11,86,0.9562942635606514,86,16.298042955200472,-97.99457809222498,4,4,5,11,11
52,57,20,100,11.574439664144242,100,5.459904607408518,121.33637587234546,4,4,5,3,1
53,24,10,99,11.725183979439054,99,-58.20075427390528,23.159758709297392,4,4,4,3,1
54,74,12,47,9.532078423274958,47,10.965115335557345,-43.84212872952261,4,4,4,3,1
55,96,20,72,6.21443915722328,72,62.86689601871191,-106.43865583599892,5,4,5,3,2
56,56,19,60,0.0654218062126277,60,-67.99882574082538,-15.550821768749556,4,4,4,9,11
57,98,10,100,1.840510986237152,100,57.36871529072704,63.98246615448966,4,4,5,11,11
58,32,18,50,2.334907525670792,50,-64.12287601609184,13.150769703361275,4,4,4,9,7
59,76,10,71,3.3768671880707304,71,86.1974157848685,-27.942945647505866,4,4,5,6,7
60,40,10,91,13.366716589678315,91,10.868339805094765,169.32609855993212,4,4,5,3,1
61,59,14,67,3.1913797848539938,67,-38.50383992011948,128.2552993306532,4,4,3,6,7
62,18,17,88,9.078352300760349,88,16.963210809826208,-40.49537246211716,4,4,4,3,1
63,29,20,57,13.57951885172644,57,-84.57009836050663,-0.8449640703433374,4,4,3,3,1
64,10,16,92,6.588800955933461,92,55.65526937121135,137.0307672664092,4,4,4,3,3
