TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,CpuTime,TotalLength,CostPerSec,StartExecTime,VmID
1,26,15,45,3.388500389,45,42,0.1,5
2,18,15,83,3.588795518,83,44,0.1,10
3,43,19,71,2.850740741,71,46,0.1,11
4,32,12,99,7.574646465,99,42,3.488500389,5
5,80,15,62,3.588795518,62,44,0.1,7
6,23,10,31,1.227241379,31,46,2.950740741,11
7,48,17,10,1.111111111,10,42,0.1,3
8,38,20,56,2.228339307,56,46,4.17798212,11
9,89,12,58,4.447219447,58,42,11.06314685,5
10,57,19,88,5.155956323,88,44,3.688795518,7
11,62,16,76,3.002534503,76,46,6.406321427,11
12,87,10,79,6.029082029,79,42,15.5103663,5
13,65,16,86,4.48353236,86,44,0.1,8
14,17,16,90,3.098671775,90,46,0.1,13
15,64,11,31,2.343766234,31,42,21.53944833,5
16,21,19,98,7.49972139,98,42,23.88321456,5
17,83,16,34,2.266666667,34,44,0.1,6
18,36,13,21,0.84,21,46,9.40885593,11
19,91,20,50,3.28353236,50,44,2.366666667,6
20,11,18,91,2.960740741,91,46,0.1,14
21,93,20,51,3.94982684,51,42,31.38293595,5
22,73,11,75,3.908278304,75,44,4.58353236,8
23,34,12,19,0.746564496,19,46,10.24885593,11
24,31,18,78,5.961926962,78,42,35.33276279,5
25,66,18,68,2.740949203,68,46,10.99542043,11
26,82,11,63,4.182958611,63,44,5.650199027,6
27,93,19,47,3.596736597,47,42,41.29468975,5
28,65,15,52,3.424866514,52,44,9.833157638,6
29,20,17,60,2.378148148,60,46,13.73636963,11
30,60,15,34,2.553224553,34,42,44.89142635,5
31,47,17,87,6.655454545,87,42,47.4446509,5
32,91,12,63,4.181119038,63,44,13.25802415,6
33,64,19,97,3.848735632,97,46,16.11451778,11
34,35,11,11,0.733333333,11,44,17.43914319,6
35,15,13,56,2.647619048,56,44,0.1,9
36,27,15,15,0.6,15,46,19.96325341,11
37,61,18,18,1.96969697,18,42,1.211111111,3
38,18,20,98,7.479409479,98,42,54.10010545,5
39,92,16,20,0.79,20,46,20.56325341,11
40,82,18,87,5.116597119,87,44,8.844751841,7
41,47,18,73,2.888275862,73,46,21.35325341,11
42,53,10,97,7.435120435,97,42,61.57951493,5
43,79,11,90,3.569706258,90,46,24.24152927,11
44,99,20,37,2.428571429,37,44,18.17247652,6
45,47,12,66,3.432880154,66,44,8.491810665,8
46,52,10,80,6.130979021,80,42,69.01463536,5
