TaskID,StartTime,taskExecutionTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,taskStatus
1,0.1,0.581967213,25,20,71,-65.2141242,-108.2441606,Trusted Data
2,0.1,0.11,94,10,11,22.00057141,-159.3707864,Trusted Data
3,0.1,0.10619469,18,15,12,-54.77120537,-41.46341333,Trusted Data
4,0.21,0.833333333,94,20,100,36.62542994,-167.8792723,Trusted Data
5,0.20619469,0.256637168,81,17,29,-6.823706282,19.74742746,password
6,1.043333333,0.691666667,78,14,83,70.98569046,-156.2062194,Trusted Data
7,1.735,0.15,95,11,18,44.22393294,50.08193505,Trusted Data
8,0.462831858,0.168141593,61,19,19,-9.982846077,143.2292249,injection
9,1.885,0.758333333,26,13,91,77.77688804,-177.6139178,Trusted Data
10,0.630973451,0.371681416,33,13,42,-70.82532049,-123.7235402,Trusted Data
11,0.681967213,0.704918033,55,10,86,9.501197717,-91.95081173,Trusted Data
12,1.002654867,0.787610619,17,12,89,19.45292483,-139.4096756,Trusted Data
13,1.386885246,0.483606557,26,10,59,-39.05554543,56.43120444,scanning
14,2.643333333,0.6,22,19,72,52.45597291,23.37666526,password
15,3.243333333,0.8,74,19,96,48.98167984,94.55274766,dos
16,1.870491803,0.286885246,86,13,35,-49.00793517,-134.9479213,dos
17,1.790265487,0.194690265,12,14,22,-24.35771954,170.9461949,dos
18,1.984955752,0.247787611,31,19,28,-65.97569106,-91.66555854,injection
19,2.232743363,0.716814159,40,13,81,17.19420041,-143.5590133,Trusted Data
20,2.157377049,0.385245902,97,13,47,89.04033037,110.3154475,Trusted Data
21,4.043333333,0.408333333,52,13,49,65.38393453,50.20294026,xss
22,2.949557522,0.469026549,37,13,53,-32.53240262,-0.153194765,ransomware
23,2.542622951,0.418032787,30,11,51,-69.0447418,-7.422439392,Trusted Data
24,4.451666667,0.291666667,35,19,35,62.53149804,40.03623716,Trusted Data
25,4.743333333,0.216666667,23,11,26,59.75182232,49.11879163,dos
26,2.960655738,0.516393443,97,12,63,70.70460073,27.17029769,ransomware
27,3.418584071,0.486725664,68,18,55,54.30820748,51.65631568,xss
28,3.47704918,0.131147541,61,20,16,19.10980737,140.3244969,dos
29,3.905309735,0.265486726,58,13,30,5.72329317,-21.84032934,xss
30,3.608196721,0.81147541,92,20,99,57.49484286,-24.12341541,Trusted Data
31,4.17079646,0.159292035,95,12,18,4.944004883,-40.16593432,Trusted Data
32,4.96,0.166666667,17,16,20,60.92695984,147.0087046,backdoor
33,4.330088496,0.628318584,79,18,71,-2.521122155,-142.4644997,Trusted Data
34,4.419672131,0.131147541,45,19,16,-30.48220686,142.9162676,Trusted Data
35,4.550819672,0.180327869,93,19,22,-48.13203792,-32.91584285,Trusted Data
36,4.731147541,0.131147541,81,18,16,-81.581344,151.584354,Trusted Data
37,4.95840708,0.840707965,91,18,95,-27.17594524,53.473387,Trusted Data
38,4.862295082,0.12295082,28,14,15,-57.11141882,-33.31553721,Trusted Data
39,4.985245902,0.155737705,84,13,19,-62.66652142,-57.89393957,backdoor
40,5.126666667,0.325,14,19,39,20.88297019,128.1438607,dos
41,5.451666667,0.458333333,53,14,55,63.28251284,175.429494,ransomware
42,5.140983607,0.5,45,10,61,-14.01060649,-63.08687529,password
43,5.91,0.791666667,72,14,95,85.7445649,-83.13548828,Trusted Data
44,5.799115044,0.849557522,22,20,96,-58.75718452,50.56985443,Trusted Data
45,5.640983607,0.704918033,37,19,86,-27.68215263,28.86929937,Trusted Data
46,6.648672566,0.82300885,42,19,93,-13.18725026,-70.88362796,Trusted Data
47,6.345901639,0.606557377,47,18,74,-12.89673753,-68.38247762,Trusted Data
48,6.952459016,0.475409836,55,11,58,-37.433967,76.37582311,Trusted Data
49,7.471681416,0.884955752,36,12,100,-71.10233625,20.43925096,scanning
50,6.701666667,0.225,57,18,27,-17.007495,19.37759212,Trusted Data
51,6.926666667,0.625,94,12,75,19.76271192,118.4935467,Trusted Data
52,7.551666667,0.525,62,13,63,48.20004603,149.8372201,injection
53,7.427868852,0.319672131,79,14,39,-48.10600663,17.96137948,Trusted Data
54,7.747540984,0.213114754,41,13,26,-9.355175315,36.15166624,password
55,7.960655738,0.680327869,31,16,83,-25.46732309,66.25270925,ddos
56,8.076666667,0.575,85,13,69,8.993210683,79.12423911,Trusted Data
57,8.356637168,0.17699115,13,19,20,-44.56063762,-0.230922341,xss
58,8.533628319,0.336283186,74,15,38,-53.38122419,-71.39052563,Trusted Data
59,8.869911504,0.646017699,26,16,73,-58.99759426,166.2555727,ddos
60,8.640983607,0.762295082,13,17,93,-56.87918608,137.7703884,Trusted Data
61,8.651666667,0.316666667,89,10,38,40.70932505,-155.2212693,Trusted Data
62,9.515929204,0.247787611,17,19,28,-61.5033298,-56.66292215,Trusted Data
63,8.968333333,0.55,62,19,66,40.0280289,131.3700497,Trusted Data
64,9.763716814,0.389380531,75,10,44,-3.438306091,-9.906859473,Trusted Data
65,9.518333333,0.741666667,86,12,89,66.04580372,67.76080035,Trusted Data
66,9.403278689,0.745901639,40,13,91,-4.78270534,121.6586586,xss
67,10.26,0.391666667,93,10,47,44.64532661,-12.97659643,xss
68,10.15309735,0.690265487,67,16,78,-10.57450869,-71.66997843,ddos
69,10.14918033,0.532786885,66,16,65,-59.5324917,62.46980118,Trusted Data
70,10.84336283,0.734513274,72,17,83,-7.2446826,-18.62101145,Trusted Data
71,10.68196721,0.11,50,15,10,-50.44468948,-47.11571732,Trusted Data
72,10.65166667,0.433333333,49,16,52,81.2596215,149.7287489,dos
73,11.085,0.791666667,56,11,95,75.94791254,-153.3955962,Trusted Data
74,10.79196721,0.62295082,47,20,76,37.75464013,-131.2888234,Trusted Data
75,11.87666667,0.791666667,99,18,95,43.63405454,9.183562757,Trusted Data
76,11.57787611,0.831858407,84,18,94,40.18624553,-119.4007257,ransomware
77,12.66833333,0.691666667,94,17,83,68.90886453,-21.79224011,xss
78,11.41491803,0.647540984,42,12,79,3.819111088,-42.00463158,injection
79,12.40973451,0.752212389,63,15,85,-12.81846977,13.76663352,password
80,12.06245902,0.459016393,42,20,56,54.06575003,-53.89549374,Trusted Data
81,12.52147541,0.5,91,14,61,13.01438123,133.878613,Trusted Data
82,13.36,0.741666667,65,11,89,76.40556592,96.15977976,Trusted Data
83,13.1619469,0.371681416,68,11,42,-21.32185365,178.9146124,Trusted Data
84,14.10166667,0.291666667,76,19,35,41.63562962,159.1532415,Trusted Data
85,13.53362832,0.646017699,49,11,73,-6.966347453,113.5034137,Trusted Data
86,13.02147541,0.385245902,87,16,47,-8.594155172,116.517015,Trusted Data
87,14.39333333,0.125,32,20,15,84.87826943,2.344030252,Trusted Data
88,14.51833333,0.35,41,16,42,89.5846049,177.1655032,dos
89,14.86833333,0.566666667,75,12,68,80.34565413,156.0969735,dos
90,13.40672131,0.672131148,25,18,82,-64.88828552,137.5961927,dos
91,14.17964602,0.442477876,23,14,50,60.34808993,155.5199062,Trusted Data
92,14.07885246,0.426229508,98,20,52,-48.9645475,179.3095329,Trusted Data
93,14.62212389,0.539823009,96,20,61,-6.100186446,156.6599407,Trusted Data
94,14.50508197,0.196721311,48,15,24,-3.264223262,164.611775,Trusted Data
95,15.1619469,0.734513274,25,12,83,-77.57402125,-21.79917063,Trusted Data
96,15.435,0.308333333,36,10,37,69.21807322,68.82354835,Trusted Data
97,14.70180328,0.37704918,81,18,46,-4.786000408,134.5063437,ransomware
98,15.07885246,0.663934426,49,17,81,-76.29934779,16.86879152,Trusted Data
99,15.89646018,0.159292035,64,13,18,-45.6978054,166.0692562,Trusted Data
100,15.74333333,0.11,35,11,10,50.12209384,114.0914699,Trusted Data
101,16.05575221,0.522123894,23,11,59,-5.832897564,-70.79661547,Trusted Data
102,16.57787611,0.82300885,28,12,93,-11.77677198,-102.5925492,Trusted Data
103,15.85333333,0.741666667,90,18,89,17.86527847,71.21718437,Trusted Data
104,16.595,0.575,68,11,69,71.23126452,73.73486126,Trusted Data
105,15.74278689,0.319672131,28,16,39,-75.54880214,-21.75803493,scanning
106,16.06245902,0.336065574,100,17,41,-18.12654711,106.5487801,dos
107,17.17,0.516666667,83,18,62,41.71006568,-157.5144826,Trusted Data
108,16.39852459,0.393442623,76,14,48,-44.64792753,71.92703669,Trusted Data
109,17.40088496,0.840707965,55,14,95,-12.45726638,132.3689876,Trusted Data
110,16.79196721,0.721311475,33,20,88,13.23275312,-51.37422364,dos
111,18.24159292,0.415929204,50,20,47,10.64870153,-151.7905233,dos
112,17.51327869,0.245901639,97,20,30,-82.21537559,-36.39150327,Trusted Data
113,17.68666667,0.783333333,60,12,94,45.81637463,70.25445287,injection
114,18.47,0.666666667,38,18,80,77.55106823,177.4205049,Trusted Data
115,19.13666667,0.133333333,61,17,16,52.31962787,61.82908313,Trusted Data
116,19.27,0.133333333,76,20,16,62.27504181,129.7421229,Trusted Data
117,17.75918033,0.606557377,98,16,74,-68.49799519,134.7415666,Trusted Data
118,18.65752212,0.380530973,69,15,43,12.08224511,159.2798854,dos
119,19.0380531,0.300884956,39,17,34,-17.68619539,94.20484805,injection
120,19.33893805,0.238938053,36,16,27,-26.37645646,-97.46220753,Trusted Data
121,18.3657377,0.344262295,81,17,42,7.162987212,101.7989652,Trusted Data
122,19.40333333,0.383333333,37,12,46,84.97970419,-130.9872731,ddos
123,19.78666667,0.208333333,66,18,25,61.02817349,152.2552229,Trusted Data
124,19.995,0.575,63,10,69,82.16159591,82.62529588,Trusted Data
125,19.57787611,0.743362832,78,11,84,-22.19704341,-70.66073231,injection
126,18.71,0.442622951,23,18,54,41.51395861,-106.2335636,Trusted Data
127,20.57,0.758333333,75,18,91,69.50627222,21.85592594,injection
128,19.15262295,0.204918033,17,15,25,-17.38033508,-136.6693141,dos
129,20.32123894,0.150442478,94,13,17,-62.58864717,-50.72791951,Trusted Data
130,19.35754098,0.11,77,20,10,-86.67056147,2.237956755,Trusted Data
131,20.47168142,0.628318584,76,18,71,-13.80049671,26.29862235,ransomware
132,21.32833333,0.783333333,20,15,94,86.40844,150.41546,password
133,19.46754098,0.163934426,74,16,20,-39.90545904,-73.3263622,Trusted Data
134,19.63147541,0.549180328,19,14,67,-75.12533293,10.35495485,Trusted Data
135,21.1,0.82300885,11,13,93,-48.15485502,-44.88653986,Trusted Data
136,22.11166667,0.691666667,41,19,83,85.44392156,42.08595993,Trusted Data
137,20.18065574,0.155737705,25,12,19,-50.39775658,65.51440947,xss
138,20.33639344,0.352459016,30,11,43,39.94846157,-172.1954218,Trusted Data
139,20.68885246,0.598360656,82,18,73,48.94024032,-52.36477258,Trusted Data
140,21.92300885,0.14159292,36,14,16,88.01643441,124.9445779,Trusted Data
141,22.06460177,0.601769912,11,12,68,-17.57913047,-12.18765202,Trusted Data
142,21.28721311,0.11,69,19,12,5.335379488,66.73436174,ransomware
143,21.39721311,0.295081967,50,20,36,-75.66291808,114.249261,Trusted Data
144,22.66637168,0.504424779,47,20,57,60.85889634,-56.32415933,Trusted Data
145,22.80333333,0.816666667,96,19,98,46.72882317,107.90699,Trusted Data
146,21.69229508,0.114754098,49,14,14,-78.74503042,-107.9409613,injection
147,21.80704918,0.131147541,89,19,16,61.50631534,172.5088356,scanning
148,23.62,0.25,93,18,30,84.89613551,18.37056185,xss
149,23.17079646,0.513274336,64,20,58,13.59822221,-74.71106403,Trusted Data
150,21.93819672,0.729508197,87,14,89,-5.317250029,17.59794146,Trusted Data
151,23.6840708,0.194690265,30,14,22,-63.41363745,2.828718035,Trusted Data
152,23.87876106,0.513274336,46,20,58,-17.27517287,70.8509775,ddos
153,22.66770492,0.401639344,26,15,49,19.95640613,35.96894827,Trusted Data
154,24.3920354,0.123893805,15,18,14,-81.67893466,5.372309243,Trusted Data
155,23.06934426,0.647540984,49,19,79,0.660729705,-153.3073581,Trusted Data
156,24.5159292,0.849557522,15,10,96,32.20472312,-19.31269704,scanning
157,23.87,0.216666667,60,12,26,27.58419613,-9.26817801,Trusted Data
158,24.08666667,0.308333333,60,10,37,76.88187559,147.4787915,Trusted Data
159,24.395,0.283333333,15,18,34,67.84665854,-15.29490045,Trusted Data
160,24.67833333,0.458333333,73,14,55,70.39855925,-70.3216133,Trusted Data
161,23.71688525,0.11,76,18,12,-0.549937998,122.3771084,scanning
162,23.82688525,0.786885246,60,14,96,-34.18723388,79.30949372,scanning
163,25.36548673,0.353982301,66,10,40,-70.46562047,-82.28470942,Trusted Data
164,25.13666667,0.283333333,10,16,34,47.49166051,41.21446754,Trusted Data
165,25.42,0.766666667,97,16,92,89.91035883,113.7815103,Trusted Data
166,25.71946903,0.699115044,29,14,79,87.43221102,41.32894939,Trusted Data
167,24.61377049,0.631147541,32,12,77,-55.00325774,-47.24629088,xss
168,26.18666667,0.391666667,89,11,47,58.14461172,58.57724981,injection
169,26.41858407,0.681415929,70,12,77,41.26315667,-135.5315641,Trusted Data
170,25.24491803,0.737704918,36,13,90,-12.82275818,100.920136,Trusted Data
171,27.1,0.389380531,95,17,44,8.233041751,-80.60657153,Trusted Data
172,27.48938053,0.548672566,70,17,62,-4.729160979,-31.89644641,Trusted Data
173,26.57833333,0.616666667,21,17,74,33.90180849,132.5243147,Trusted Data
174,27.195,0.358333333,70,18,43,69.21209033,67.54648164,scanning
175,27.55333333,0.11,66,14,13,34.63066009,93.69794712,Trusted Data
176,25.98262295,0.352459016,75,11,43,5.725922453,132.0794769,Trusted Data
177,27.66333333,0.483333333,59,15,58,35.07698613,108.3491814,ddos
178,26.33508197,0.336065574,21,12,41,-50.24415346,88.72555804,Trusted Data
179,28.14666667,0.583333333,12,15,70,71.35647458,179.7274666,injection
180,28.0380531,0.592920354,57,13,67,39.57854402,-90.43334789,injection
181,26.67114754,0.62295082,55,13,76,-30.98564788,-14.33003339,Trusted Data
182,28.63097345,0.504424779,29,19,57,-72.19009421,99.10889207,Trusted Data
183,27.29409836,0.704918033,17,14,86,-86.05092242,-59.59919528,Trusted Data
184,29.13539823,0.539823009,22,11,61,-80.97138354,-137.739407,xss
185,29.67522124,0.867256637,15,12,98,-7.79348105,-10.311019,Trusted Data
186,27.99901639,0.795081967,76,17,97,-53.20181867,-151.2177024,injection
187,30.54247788,0.150442478,47,17,17,-24.52590039,-75.0212569,dos
188,28.73,0.808333333,40,12,97,67.12981223,-113.4235157,Trusted Data
189,28.79409836,0.598360656,99,16,73,-5.347310881,137.2813727,scanning
190,30.69292035,0.327433628,97,10,37,-10.32112136,-66.34081997,Trusted Data
191,31.02035398,0.495575221,90,18,56,-81.83091378,-33.32036312,Trusted Data
192,29.53833333,0.558333333,97,10,67,-14.34671365,44.45562183,Trusted Data
193,29.39245902,0.62295082,51,15,76,-11.35162396,74.01047286,backdoor
194,30.09666667,0.808333333,56,19,97,62.91091833,-43.44826894,Trusted Data
195,30.905,0.691666667,22,11,83,78.26785447,11.7997737,scanning
196,31.5159292,0.539823009,95,11,61,22.1881736,-116.9785539,backdoor
197,30.01540984,0.344262295,52,16,42,-85.38425632,103.3081675,injection
198,32.05575221,0.318584071,64,20,36,-18.60651687,151.1286898,Trusted Data
199,32.37433628,0.477876106,46,20,54,11.97517219,74.59480274,Trusted Data
200,30.35967213,0.655737705,52,18,80,-57.35700299,4.994337067,ransomware
201,32.85221239,0.424778761,65,17,48,-35.22316064,152.8046874,Trusted Data
202,33.27699115,0.477876106,22,20,54,-54.42430008,59.96311683,Trusted Data
203,31.01540984,0.68852459,24,12,84,-59.80843284,-175.4844486,Trusted Data
204,31.59666667,0.525,22,10,63,41.39306994,-5.431132638,Trusted Data
205,32.12166667,0.8,62,13,96,56.65461689,83.96990812,Trusted Data
206,33.75486726,0.380530973,31,16,43,17.5472354,1.716060732,backdoor
207,31.70393443,0.614754098,12,18,75,-75.47474315,114.2044164,Trusted Data
208,32.92166667,0.291666667,100,12,35,86.44502436,70.07478719,Trusted Data
209,34.13539823,0.327433628,24,20,37,19.2674666,167.6816085,Trusted Data
210,34.46283186,0.398230088,84,13,45,-56.34025901,-58.4039783,Trusted Data
211,34.86106195,0.345132743,62,12,39,10.1671407,-38.14728519,injection
212,32.31868852,0.286885246,32,14,35,-87.9390292,114.7359398,Trusted Data
213,35.20619469,0.805309735,84,17,91,-38.75866058,-49.20208542,scanning
214,32.60557377,0.754098361,81,14,92,-28.63893726,178.8107554,ddos
215,33.35967213,0.319672131,12,17,39,-88.92149783,-84.36379258,ransomware
216,36.01150442,0.85840708,26,11,97,-85.98703593,-131.3180866,Trusted Data
217,33.67934426,0.778688525,84,10,95,-51.19694397,47.04239084,ransomware
218,36.8699115,0.115044248,36,10,13,-47.88331443,-38.28108135,Trusted Data
219,33.21333333,0.658333333,97,13,79,30.82515968,-51.55404883,Trusted Data
220,33.87166667,0.266666667,53,17,32,57.04488164,12.90086945,ddos
221,34.45803279,0.114754098,45,18,14,-89.96906109,-75.11550418,Trusted Data
222,34.57278689,0.647540984,92,18,79,-56.05419545,159.8918243,ransomware
223,36.98495575,0.424778761,60,15,48,-2.504470872,-107.5562575,Trusted Data
224,37.40973451,0.327433628,16,18,37,-49.58723172,27.11000746,Trusted Data
225,37.73716814,0.699115044,55,14,79,-40.97494315,-136.247549,Trusted Data
226,35.22032787,0.368852459,50,17,45,-55.15178399,-66.84122124,Trusted Data
227,34.13833333,0.7,64,20,84,64.67251023,-100.9029754,Trusted Data
228,34.83833333,0.6,47,17,72,-14.04921804,65.14121333,Trusted Data
229,35.58918033,0.557377049,18,17,68,-32.1040839,-112.0108147,password
230,35.43833333,0.425,76,14,51,-43.22272303,118.390672,scanning
231,35.86333333,0.825,72,18,99,67.15674679,-124.6242709,xss
232,36.68833333,0.25,59,12,30,23.38112734,159.0236893,ddos
233,36.93833333,0.366666667,77,20,44,39.78272784,74.20697251,Trusted Data
234,37.305,0.15,26,10,18,72.00238822,-92.88240469,scanning
235,37.455,0.291666667,30,14,35,52.19360452,93.80801298,ddos
236,37.74666667,0.833333333,29,11,100,72.04708058,95.0929468,Trusted Data
237,38.43628319,0.11,77,15,11,-0.370858102,23.06061516,Trusted Data
238,38.54628319,0.345132743,10,16,39,11.99377014,-104.723773,Trusted Data
239,38.89141593,0.300884956,51,14,34,-56.83228456,-34.33822382,Trusted Data
240,36.14655738,0.475409836,80,18,58,-64.92878759,39.94777529,Trusted Data
241,39.19230088,0.389380531,20,19,44,-45.38657853,-47.87653101,Trusted Data
242,39.58168142,0.327433628,23,14,37,11.11821957,4.477770461,xss
243,36.62196721,0.31147541,34,12,38,76.71016062,-145.4469321,Trusted Data
244,36.93344262,0.360655738,17,18,44,-37.31408874,165.6530245,Trusted Data
245,38.58,0.766666667,41,20,92,76.2266261,6.300353423,Trusted Data
246,39.90911504,0.831858407,63,13,94,-0.608548274,143.575102,Trusted Data
247,37.29409836,0.450819672,56,20,55,-30.59843913,120.5910546,dos
248,39.34666667,0.425,83,20,51,84.22470032,18.17475452,Trusted Data
249,37.74491803,0.459016393,70,17,56,84.54657631,-10.76111932,ransomware
250,40.74097345,0.884955752,58,17,100,-35.33061739,2.89165033,Trusted Data
251,38.20393443,0.180327869,43,19,22,-11.94887975,170.4038769,backdoor
252,38.3842623,0.524590164,98,12,64,15.31580068,-36.51065564,scanning
253,41.6259292,0.362831858,74,16,41,-27.95558279,94.14947753,Trusted Data
254,38.90885246,0.336065574,84,13,41,-29.76120141,-131.593657,scanning
255,39.77166667,0.458333333,87,16,55,87.50943794,115.1644168,Trusted Data
256,41.98876106,0.584070796,96,16,66,-22.06879451,-53.0891316,Trusted Data
257,39.24491803,0.606557377,85,10,74,3.487661104,-160.1499611,password
258,42.57283186,0.557522124,63,18,63,-48.25439344,96.81969857,Trusted Data
259,39.85147541,0.786885246,63,15,96,-42.77825774,143.9173953,Trusted Data
260,40.23,0.11,18,16,13,32.21480345,-121.4830557,Trusted Data
261,40.34,0.558333333,29,19,67,72.7663151,23.79685948,Trusted Data
262,43.13035398,0.150442478,25,10,17,-15.55066877,-23.08129794,Trusted Data
263,40.89833333,0.2,54,18,24,33.66495407,-126.9184419,ransomware
264,41.09833333,0.558333333,57,16,67,81.78643005,-175.9586387,scanning
265,41.65666667,0.125,96,14,15,81.18472915,-32.99875746,Trusted Data
266,43.28079646,0.849557522,72,16,96,-32.44695522,-145.4985216,Trusted Data
267,40.63836066,0.450819672,49,13,55,-72.72174105,-121.6692449,ddos
268,44.13035398,0.451327434,26,11,51,-81.06803459,-0.940065498,Trusted Data
269,41.08918033,0.696721311,91,17,85,-46.64856642,66.03131941,Trusted Data
270,44.58168142,0.513274336,22,19,58,-44.87821852,-85.73070394,injection
271,41.78166667,0.158333333,67,20,19,28.98680731,76.09016357,ddos
272,41.94,0.11,10,14,12,76.10900815,36.77595845,Trusted Data
273,41.78590164,0.508196721,31,19,62,-51.8067325,-122.508149,Trusted Data
274,42.05,0.11,18,12,13,-4.308956282,33.94832088,backdoor
275,45.09495575,0.318584071,10,19,36,-2.416526819,-139.2317627,Trusted Data
276,45.41353982,0.646017699,26,13,73,-41.5439136,160.0822565,xss
277,42.29409836,0.516393443,58,10,63,-54.22669591,155.5514912,Trusted Data
278,42.16,0.541666667,66,18,65,-39.75346682,36.57294427,ddos
279,42.70166667,0.2,34,17,24,0.718900215,-111.2032248,Trusted Data
280,42.90166667,0.358333333,56,10,43,25.30288291,80.61448964,Trusted Data
281,46.05955752,0.849557522,53,11,96,-74.81022947,46.04104031,Trusted Data
282,43.26,0.691666667,94,17,83,30.75716308,101.2836675,Trusted Data
283,42.8104918,0.393442623,91,14,48,-2.121427188,45.24085648,backdoor
284,43.20393443,0.213114754,33,20,26,6.608337526,-100.7444568,Trusted Data
285,43.41704918,0.327868852,96,19,40,-16.72944194,97.65475547,xss
286,46.90911504,0.761061947,58,19,86,-28.08618269,141.9582099,Trusted Data
287,43.95166667,0.383333333,37,17,46,87.30740088,-130.1886482,Trusted Data
288,44.335,0.516666667,47,17,62,37.91151183,-22.39402136,Trusted Data
289,43.74491803,0.819672131,17,10,100,-37.40780625,125.3745754,Trusted Data
290,47.67017699,0.734513274,17,15,83,-7.304819026,-15.21730799,injection
291,44.56459016,0.762295082,71,16,93,-54.97642067,-8.150598564,ransomware
292,48.40469027,0.362831858,17,16,41,-27.21993789,-73.80706987,Trusted Data
293,44.85166667,0.791666667,49,18,95,74.73449699,83.48868435,Trusted Data
294,45.64333333,0.333333333,98,19,40,81.72526026,45.15296604,scanning
