TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,taskStatus
1,0.1,68,18,11,-13.17939558009131,-81.38249806177903,Trusted Data
2,0.21000000000000002,17,20,28,-68.49101498380112,-138.09585775477393,Trusted Data
3,0.1,68,20,84,30.42710171390125,38.68714751884855,Trusted Data
4,0.1,42,13,69,74.30141468190024,-165.0022687205704,Trusted Data
5,0.7942148760330578,13,16,81,79.51663410067206,-162.4913298004494,Malware Detected (password)
6,0.4221212121212121,90,16,75,-68.71040670917446,8.827437025824963,Trusted Data
7,0.7899999999999999,69,20,65,44.14420896917727,90.56547839732048,Trusted Data
8,1.4636363636363636,34,18,48,67.42561576441855,74.55704006665735,Malware Detected (injection)
9,0.9903030303030304,32,10,48,-88.37004827479643,-157.3239773266492,Trusted Data
10,1.353939393939394,91,20,99,-78.54143635636241,150.1622022543063,Trusted Data
11,1.44,35,14,95,79.92401963715261,1.3495450073281177,Trusted Data
12,1.8603305785123967,60,15,45,59.67696273650378,-121.00401819290022,Trusted Data
13,2.103939393939394,94,12,60,-89.64879435184162,42.040237346684336,Malware Detected (scanning)
14,2.5584848484848486,79,18,27,-67.84883512837335,87.15866867935864,Malware Detected (password)
15,2.3899999999999997,37,17,47,-30.266262148255862,-92.88574850291512,Malware Detected (dos)
16,2.8599999999999994,15,14,48,12.96680375299485,122.2767384426005,Malware Detected (dos)
17,2.232231404958678,27,15,49,49.28433260326054,-10.686139774200996,Malware Detected (dos)
18,2.6371900826446284,82,12,76,65.36937537085583,27.00623362746768,Malware Detected (injection)
19,2.763030303030303,49,10,11,-16.177261162014332,-93.97715115843565,Trusted Data
20,2.873030303030303,59,18,68,-50.92143949205001,-138.25385892425444,Trusted Data
21,3.3399999999999994,48,18,87,-38.70397230609845,81.94212147133413,Malware Detected (xss)
22,3.2652892561983475,16,18,60,7.865003432118058,-39.59514308522594,Malware Detected (ransomware)
23,3.388181818181818,29,20,76,-64.5667500644153,17.877344201559197,Trusted Data
24,3.761157024793389,65,12,16,8.732746173045982,-0.8286338958463944,Trusted Data
25,4.209999999999999,65,19,94,70.25304663731669,-71.44258799915517,Malware Detected (dos)
26,3.963939393939394,76,12,100,-86.49135219329294,177.58794709715977,Malware Detected (ransomware)
27,3.8933884297520667,82,10,21,61.72329937815425,-138.42828735265778,Malware Detected (xss)
28,5.149999999999999,87,18,37,-20.478676377279214,89.42925163742512,Malware Detected (dos)
29,4.066942148760331,49,11,87,3.4077151273572355,-50.00496252315736,Malware Detected (xss)
30,4.721515151515152,24,20,32,-75.55133982060985,33.20968854965335,Trusted Data
