TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterID,ts,src_ip,src_port,dst_ip,dst_port,proto,service,duration,src_bytes,dst_bytes,conn_state,missed_bytes,src_pkts,src_ip_bytes,dst_pkts,dst_ip_bytes,dns_query,dns_qclass,dns_qtype,dns_rcode,dns_AA,dns_RD,dns_RA,dns_rejected,ssl_version,ssl_cipher,ssl_resumed,ssl_established,ssl_subject,ssl_issuer,http_trans_depth,http_method,http_uri,http_version,http_request_body_len,http_response_body_len,http_status_code,http_user_agent,http_orig_mime_types,http_resp_mime_types,weird_name,weird_addl,weird_notice,label,type
73,20,24,54.183368117353695,34.691517045155734,5,1556022080,192.168.1.30,49500,192.168.1.49,19315,tcp,-,0.0,0,0,S0,0,1,44,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,scanning
33,19,19,-30.022945432247624,-156.91547098621655,3,1556345053,192.168.1.195,56368,192.168.1.79,9197,tcp,http,0.012254,276,6549,SF,0,5,488,9,6921,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
98,10,12,-31.51945630194642,127.16527627432174,3,1556353392,192.168.1.79,40832,192.168.1.195,58149,udp,-,0.0,0,0,S0,0,1,353,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
68,20,20,-58.92487163409851,-94.74323795512656,3,1556340912,192.168.1.32,59196,192.168.1.195,80,tcp,-,0.0,0,0,S0,0,1,60,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
76,13,21,-39.96163765148609,-50.80590307876551,5,1556249466,192.168.1.190,51394,203.119.86.101,53,udp,dns,0.021757,56,733,SF,0,1,84,1,761,203.174.58.241.in-addr.arpa,1,12,3,F,F,F,F,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
13,17,25,-6.75586521112416,-177.96991767010124,3,1556021848,192.168.1.32,61178,192.168.1.49,5962,tcp,-,0.0,0,0,S0,0,1,44,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,scanning
80,17,19,-72.4803566731605,-162.2396680376914,3,1556287507,192.168.1.30,35520,192.168.1.195,80,tcp,http,0.011815,155,978,SF,0,6,415,4,1150,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,password
61,19,24,66.1995391436144,-67.92225945284545,5,1556440248,192.168.1.193,49695,192.168.1.33,80,tcp,-,0.002932,0,0,REJ,0,1,48,1,40,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,backdoor
84,11,23,-11.097375931175222,-122.09711870862284,3,1556340867,192.168.1.32,52378,18.194.169.124,80,tcp,-,0.0,0,0,SH,0,1,52,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,1,xss
82,20,15,58.349229773643344,125.89632488210331,5,1554264641,192.168.1.79,43229,192.168.1.255,15600,udp,-,0.0,0,0,S0,0,1,63,0,0,-,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,-,-,-,0,normal
