TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1,0.1,77,13,17,66.23625525403313,-49.9089732065664,12555.0,37.0,4.0,9.0,6.0,921.0,0.67,8.87,661.0,4
2,0.1,10,20,13,71.25624313870745,-163.0887380676378,10215.0,37.0,4.0,9.0,6.0,921.0,0.39,2.8,656.15,4
3,0.1,19,11,10,-76.56398812285912,89.14323019634185,2126.0,40.0,4.0,4.0,7.0,919.0,0.37,2.53,646.55,5
4,0.1,51,20,20,-15.579677401593884,-148.20475261771304,596.0,37.0,4.0,9.0,6.0,921.0,0.67,6.9,648.26,4
5,0.1,43,10,11,-81.36608887502489,153.90907730620881,1455.0,48.0,5.0,7.0,9.0,915.0,0.34,6.72,644.75,3
6,0.1,30,10,12,-2.5191349980743496,39.24458303887869,6795.0,40.0,4.0,4.0,7.0,919.0,0.26,3.7,651.65,5
7,0.20967741935483872,86,15,17,78.1688600186412,-107.00822211323064,11290.0,37.0,4.0,9.0,6.0,921.0,0.67,9.95,660.17,4
8,0.1,37,14,17,-79.08717353675378,-164.08287265233758,827.0,48.0,5.0,7.0,9.0,915.0,2.32,6.16,644.49,3
9,0.1,59,18,19,-74.90205192769122,-66.76223586883451,1458.0,48.0,5.0,7.0,9.0,915.0,0.86,9.52,646.02,3
10,0.20967741935483872,48,17,21,25.02964151469061,-60.167437095967415,11024.0,37.0,4.0,9.0,6.0,921.0,0.63,6.33,658.45,4
11,0.31967741935483873,76,10,13,73.8209095464425,-97.57047622207837,11137.0,37.0,4.0,9.0,6.0,921.0,0.51,8.5,659.39,4
12,0.1,78,14,17,1.8764416405424527,-54.824582996256325,10682.0,40.0,4.0,4.0,7.0,919.0,0.64,9.14,657.83,5
13,0.21000000000000002,10,18,19,-39.66694287698532,9.143249009117312,3540.0,40.0,4.0,4.0,7.0,919.0,0.7,1.82,647.78,5
14,0.21000000000000002,27,14,18,-41.40064771811142,-59.936540080212325,4967.0,48.0,5.0,7.0,9.0,915.0,0.55,4.76,647.54,3
15,0.20967741935483872,51,19,19,-4.343648357811816,163.56162030849055,5217.0,37.0,4.0,9.0,6.0,921.0,0.63,6.81,652.83,4
16,0.21000000000000002,47,10,11,58.08321492048202,120.51820134998854,14951.0,40.0,4.0,4.0,7.0,919.0,0.24,5.57,660.55,5
17,0.32000000000000006,86,14,19,-57.78605278686575,-129.45458897964258,2336.0,48.0,5.0,7.0,9.0,915.0,2.59,13.02,648.82,3
18,0.4296774193548387,57,17,18,51.61167017305155,-131.40024404271622,8214.0,37.0,4.0,9.0,6.0,921.0,0.71,7.23,656.02,4
19,0.32000000000000006,13,19,21,-24.630592574562,90.63653321635724,5441.0,40.0,4.0,4.0,7.0,919.0,0.79,2.19,649.85,5
20,0.32000000000000006,93,14,16,-16.663899643344337,-20.611664190741635,7155.0,40.0,4.0,4.0,7.0,919.0,0.59,10.79,654.95,5
21,0.32000000000000006,77,20,21,-47.503768751266335,7.540518601129548,2887.0,40.0,4.0,4.0,7.0,919.0,0.46,9.27,650.03,5
22,0.43000000000000005,71,19,16,48.081421627010286,49.432260167211126,12411.0,40.0,4.0,4.0,7.0,919.0,0.59,8.57,659.32,5
23,0.21000000000000002,94,10,19,-68.34287655184191,108.45089302621477,3307.0,48.0,5.0,7.0,9.0,915.0,0.86,13.86,649.61,3
24,0.54,91,20,16,-64.5932706251783,24.120756539704786,1020.0,40.0,4.0,4.0,7.0,919.0,0.6,10.81,648.82,5
25,0.4296774193548387,37,13,24,39.838789462682996,-108.55449435640539,7999.0,37.0,4.0,9.0,6.0,921.0,0.72,4.87,654.86,4
26,0.54,33,19,10,16.06042019346296,55.14974746186027,8888.0,40.0,4.0,4.0,7.0,919.0,0.37,4.39,654.06,5
27,0.32000000000000006,17,13,23,40.40091803042637,-58.13701433235572,13921.0,48.0,5.0,7.0,9.0,915.0,0.7,3.29,655.95,3
28,0.31967741935483873,50,11,19,18.173009793174003,-91.22274853147637,7793.0,37.0,4.0,9.0,6.0,921.0,0.63,5.99,655.08,4
29,0.43000000000000005,23,16,22,-4.922125532694352,68.28586458388284,6778.0,40.0,4.0,4.0,7.0,919.0,0.49,3.17,651.49,5
30,0.5396774193548387,91,14,15,26.933830675298537,-169.17279011085486,5597.0,37.0,4.0,9.0,6.0,921.0,0.59,10.36,654.62,4
31,0.76,73,14,25,-33.15477840012303,69.89117301593578,3786.0,40.0,4.0,4.0,7.0,919.0,0.94,8.59,650.8,5
32,0.4296774193548387,36,14,16,77.25367236055283,85.83591522071572,12984.0,37.0,4.0,9.0,6.0,921.0,0.53,4.86,659.79,4
33,0.54,29,19,17,66.51878213311494,-15.044137849861556,17543.0,48.0,5.0,7.0,9.0,915.0,2.32,5.39,660.9,3
34,0.6496774193548387,50,15,18,15.178465329247828,-122.37147576871662,5030.0,37.0,4.0,9.0,6.0,921.0,0.71,6.35,652.48,4
35,0.32000000000000006,14,18,13,-67.85873562832441,98.28571160768604,3479.0,48.0,5.0,7.0,9.0,915.0,0.59,3.22,645.44,3
36,0.6496774193548387,41,19,16,42.390290582864026,-142.13739070033395,7022.0,37.0,4.0,9.0,6.0,921.0,0.48,5.81,654.19,4
37,0.76,43,14,11,-18.211396875322706,-84.2315446610703,7050.0,48.0,5.0,7.0,9.0,915.0,1.5,7.0,650.8,3
38,0.65,59,13,16,15.265278350334,28.60119587208274,8871.0,40.0,4.0,4.0,7.0,919.0,0.59,7.01,655.15,5
39,0.5396774193548387,88,16,11,75.22485473885612,3.693693992664322,13723.0,37.0,4.0,9.0,6.0,921.0,0.37,10.24,662.63,4
40,0.7596774193548387,78,20,20,17.523967402170314,159.39925808805782,6846.0,37.0,4.0,9.0,6.0,921.0,0.79,9.6,655.62,4
41,0.43000000000000005,44,13,24,6.761120903116847,115.4001983134379,11369.0,48.0,5.0,7.0,9.0,915.0,1.09,7.07,655.02,3
42,0.43000000000000005,24,13,17,38.8087518051876,115.88201401693186,14854.0,48.0,5.0,7.0,9.0,915.0,0.52,4.27,657.22,3
43,0.76,92,13,18,-2.647599077316727,42.44810603828654,6768.0,40.0,4.0,4.0,7.0,919.0,0.66,10.64,654.52,5
44,0.54,57,15,10,-70.7825672671609,54.70482805192546,909.0,40.0,4.0,4.0,7.0,919.0,0.22,6.87,647.02,5
45,0.7596774193548387,91,17,10,27.800547307221166,162.0066353661487,7350.0,37.0,4.0,9.0,6.0,921.0,0.3,10.63,656.39,4
46,0.98,74,13,22,-50.26739047678338,42.196682844675735,1479.0,40.0,4.0,4.0,7.0,919.0,0.83,8.66,648.49,5
47,0.6496774193548387,52,20,17,55.92983143526999,115.70430569804734,12058.0,37.0,4.0,9.0,6.0,921.0,0.57,7.0,659.73,4
48,0.87,39,14,15,-66.15675283027153,-90.80586763076151,1748.0,48.0,5.0,7.0,9.0,915.0,2.05,6.44,645.44,3
49,0.54,47,18,12,-15.865118209501901,136.97909992214903,8457.0,48.0,5.0,7.0,9.0,915.0,0.37,7.84,652.2,3
50,1.09,27,14,12,-79.34591594308743,-42.62735623441654,1594.0,48.0,5.0,7.0,9.0,915.0,1.64,4.76,644.49,3
51,0.54,36,13,21,-60.706179883017114,137.39381669476933,3628.0,48.0,5.0,7.0,9.0,915.0,0.95,5.95,646.79,3
52,0.65,32,17,25,-41.62154145061221,-43.518956022944565,5296.0,48.0,5.0,7.0,9.0,915.0,0.77,5.67,648.3,3
53,0.87,80,10,25,17.329409865264125,86.99665971152211,9686.0,40.0,4.0,4.0,7.0,919.0,0.91,9.2,656.94,5
54,0.65,36,12,13,10.785422132941079,-23.561191238887716,10055.0,40.0,4.0,4.0,7.0,919.0,0.29,4.44,655.22,5
55,0.8696774193548387,36,13,18,-45.54210372638831,-172.24539361222702,3419.0,37.0,4.0,9.0,6.0,921.0,0.54,4.77,650.19,4
56,1.3100000000000003,43,17,12,-42.758252929509354,150.5845347505387,5252.0,48.0,5.0,7.0,9.0,915.0,1.64,7.21,649.13,3
57,0.7596774193548387,81,18,24,13.846424014758142,149.92733680050628,7484.0,37.0,4.0,9.0,6.0,921.0,0.8,9.72,656.31,4
58,1.5300000000000005,75,18,12,-80.22710668699455,165.74826046001476,1336.0,48.0,5.0,7.0,9.0,915.0,1.64,11.76,647.03,3
59,0.65,71,16,12,-87.40701019668165,63.27893466619372,1538.0,48.0,5.0,7.0,9.0,915.0,0.55,11.06,646.63,3
60,0.76,60,12,15,-74.07894108364817,-176.82215362309154,1398.0,48.0,5.0,7.0,9.0,915.0,0.46,9.24,645.73,3
61,0.9796774193548387,94,11,12,68.06615755010313,13.24671256675424,14584.0,37.0,4.0,9.0,6.0,921.0,0.47,10.39,663.58,4
62,1.7500000000000007,34,18,12,-75.17448075229922,-48.37190982994301,1809.0,48.0,5.0,7.0,9.0,915.0,1.64,6.02,645.21,3
63,0.76,84,13,25,-57.359938218949985,-139.9271205610948,2441.0,48.0,5.0,7.0,9.0,915.0,1.14,12.67,648.35,3
64,1.0896774193548386,97,16,21,27.01415975197291,-114.38021551056667,6570.0,37.0,4.0,9.0,6.0,921.0,0.63,11.14,655.92,4
65,0.76,24,16,17,-51.825493839940805,-27.169036943400442,4227.0,40.0,4.0,4.0,7.0,919.0,0.38,3.28,648.95,5
66,1.2000000000000002,62,19,15,3.2969857898231822,60.622946702373866,7539.0,40.0,4.0,4.0,7.0,919.0,0.56,7.58,654.04,5
67,1.0896774193548386,58,16,18,55.79499201749164,146.2029032052398,10292.0,37.0,4.0,9.0,6.0,921.0,0.71,7.24,658.1,4
68,1.09,57,11,10,29.44358234922109,-1.025208692977941,11096.0,40.0,4.0,4.0,7.0,919.0,0.37,6.71,657.19,5
69,0.87,15,11,15,-22.292583634042515,88.6144898025276,5593.0,40.0,4.0,4.0,7.0,919.0,0.33,2.09,649.83,5
70,0.8696774193548387,12,17,11,68.13287174619092,-67.2804557132485,11834.0,37.0,4.0,9.0,6.0,921.0,0.37,2.73,657.74,4
71,0.87,55,10,20,-55.85033252952028,137.01437760720285,4143.0,48.0,5.0,7.0,9.0,915.0,0.61,8.4,648.19,3
72,1.4200000000000004,80,13,15,-59.1059929465969,94.08410961631142,2596.0,40.0,4.0,4.0,7.0,919.0,0.56,9.32,649.79,5
73,1.1996774193548387,87,11,13,58.8781531875799,-136.10489821177055,8902.0,37.0,4.0,9.0,6.0,921.0,0.51,9.69,657.63,4
74,1.3096774193548388,41,15,21,74.27154738131335,67.15300386552931,13587.0,37.0,4.0,9.0,6.0,921.0,0.63,5.45,660.66,4
75,1.9700000000000009,36,14,20,-77.25873086736163,-169.03196665778185,1012.0,48.0,5.0,7.0,9.0,915.0,2.73,6.02,644.74,3
76,0.87,36,15,12,-65.59113534412305,-176.2543432005667,2156.0,48.0,5.0,7.0,9.0,915.0,0.55,6.09,645.26,3
77,1.2000000000000002,93,14,14,-41.784855691034885,147.65892536958597,6497.0,40.0,4.0,4.0,7.0,919.0,0.51,10.79,654.27,5
78,0.9796774193548387,80,20,11,1.4276030390720962,-108.95805571939567,5175.0,37.0,4.0,9.0,6.0,921.0,0.37,9.8,653.91,4
79,1.3096774193548388,99,14,16,12.338175853878838,145.6820221366791,7810.0,37.0,4.0,9.0,6.0,921.0,0.63,11.16,657.16,4
80,0.98,42,18,14,-84.93472986788073,124.9253251377304,2898.0,40.0,4.0,4.0,7.0,919.0,0.31,5.34,648.43,5
81,1.0896774193548386,62,16,11,78.03160119227093,-133.71903705424998,10982.0,37.0,4.0,9.0,6.0,921.0,0.37,7.64,658.85,4
82,1.419677419354839,64,15,11,-34.36470670621395,-142.60662100149534,1776.0,37.0,4.0,9.0,6.0,921.0,0.43,7.75,649.71,4
83,1.6400000000000006,59,17,13,1.2546518337366024,95.10075421363524,8286.0,40.0,4.0,4.0,7.0,919.0,0.49,7.17,654.6,5
84,0.98,12,15,17,-55.943013920745386,165.42059483990772,3533.0,48.0,5.0,7.0,9.0,915.0,0.52,2.73,645.28,3
85,1.3100000000000003,12,15,25,-24.77754036187561,16.700050328078362,4777.0,40.0,4.0,4.0,7.0,919.0,0.91,1.92,649.12,5
86,2.1900000000000004,69,14,23,-14.276227202798111,-62.98425998121131,7854.0,48.0,5.0,7.0,9.0,915.0,3.14,10.64,653.55,3
87,0.98,46,11,10,-80.11957605543594,-125.27593038513074,154.0,48.0,5.0,7.0,9.0,915.0,0.45,7.21,643.67,3
88,1.529677419354839,27,15,16,89.50396716317417,122.2775910091517,12253.0,37.0,4.0,9.0,6.0,921.0,0.48,4.05,658.72,4
89,1.09,78,20,20,-73.66043783397947,-124.52424178883234,564.0,48.0,5.0,7.0,9.0,915.0,0.61,12.32,646.18,3
90,1.1996774193548387,36,13,14,38.86317232920223,-54.54911379980467,11944.0,37.0,4.0,9.0,6.0,921.0,0.47,4.77,658.69,4
91,1.09,19,18,15,72.24805059882524,67.04334878420383,15184.0,40.0,4.0,4.0,7.0,919.0,0.33,2.81,659.71,5
92,1.7500000000000007,62,19,13,-59.06821907071017,-33.045404934060514,3938.0,40.0,4.0,4.0,7.0,919.0,0.49,7.58,650.42,5
93,1.2000000000000002,19,11,24,-40.25568691057663,44.96110019097188,2583.0,40.0,4.0,4.0,7.0,919.0,0.53,2.53,647.05,5
94,1.8600000000000008,82,18,23,-6.877673610632044,119.07754294407812,8535.0,40.0,4.0,4.0,7.0,919.0,0.86,9.74,655.99,5
95,1.5300000000000005,52,14,22,-54.98822381104636,68.67223753624165,1627.0,40.0,4.0,4.0,7.0,919.0,0.8,6.28,647.68,5
96,1.529677419354839,96,19,12,4.5272224485945,174.8402565838868,4633.0,37.0,4.0,9.0,6.0,921.0,0.47,11.31,654.0,4
97,1.6396774193548391,88,11,15,62.06310624991687,-173.1711950591525,9358.0,37.0,4.0,9.0,6.0,921.0,0.45,9.79,658.11,4
98,1.3096774193548388,67,20,23,73.33650060897,35.323077487183696,14096.0,37.0,4.0,9.0,6.0,921.0,0.77,8.5,662.43,4
99,1.09,40,13,10,-3.5186035271160847,-92.24728062669486,8563.0,48.0,5.0,7.0,9.0,915.0,0.45,6.51,651.8,3
100,2.52,54,12,14,-88.8966484392538,-136.7066003872007,1132.0,48.0,5.0,7.0,9.0,915.0,1.91,8.4,645.57,3
101,1.3100000000000003,53,16,21,54.38576041908712,26.196155591246082,13207.0,40.0,4.0,4.0,7.0,919.0,0.46,6.47,659.23,5
102,1.6396774193548391,44,17,21,0.8452713152721145,-111.06109655688822,4941.0,37.0,4.0,9.0,6.0,921.0,0.83,5.93,652.26,4
103,1.2000000000000002,89,11,21,-82.60237448575442,16.071390171369103,1958.0,48.0,5.0,7.0,9.0,915.0,0.95,13.23,648.04,3
104,1.7496774193548392,12,19,13,28.120354686962827,-85.29343714191972,8872.0,37.0,4.0,9.0,6.0,921.0,0.39,2.91,654.85,4
105,2.0800000000000005,69,11,19,-12.936837057571353,73.69024541977672,6049.0,40.0,4.0,4.0,7.0,919.0,0.71,8.03,652.77,5
106,1.8596774193548393,48,13,20,86.95213207384771,-36.49965904828113,12394.0,37.0,4.0,9.0,6.0,921.0,0.6,5.97,659.66,4
107,1.7500000000000007,58,15,19,73.8007837281857,41.81658347943505,15267.0,40.0,4.0,4.0,7.0,919.0,0.7,6.98,661.57,5
108,1.2000000000000002,71,15,10,-46.740421170837855,-23.43966858768829,5172.0,48.0,5.0,7.0,9.0,915.0,0.31,10.99,650.16,3
109,1.419677419354839,79,10,13,-27.778820300405926,-110.12362107155552,4218.0,37.0,4.0,9.0,6.0,921.0,0.43,8.8,652.57,4
110,2.7399999999999998,41,13,18,-85.57079864949301,92.88822792237232,1669.0,48.0,5.0,7.0,9.0,915.0,2.45,6.65,645.56,3
111,2.3000000000000003,68,15,18,-17.13607774047844,10.519427303427761,5786.0,40.0,4.0,4.0,7.0,919.0,0.68,8.08,652.52,5
112,1.8596774193548393,26,10,21,77.27442716462124,-72.14458563352392,11931.0,37.0,4.0,9.0,6.0,921.0,0.83,3.5,658.28,4
113,1.8600000000000008,65,16,16,-9.233828164008571,22.734901981026496,6287.0,40.0,4.0,4.0,7.0,919.0,0.59,7.79,652.88,5
114,1.3100000000000003,73,17,18,-0.6871833373591159,134.40318644719247,10168.0,48.0,5.0,7.0,9.0,915.0,0.55,11.41,655.4,3
115,1.529677419354839,84,18,16,52.49798982400122,123.10413194174356,11507.0,37.0,4.0,9.0,6.0,921.0,0.53,10.02,660.37,4
116,2.9599999999999995,36,13,25,16.87069629071088,-51.53727410636563,11489.0,48.0,5.0,7.0,9.0,915.0,3.41,5.95,655.39,3
117,2.079677419354839,26,10,21,77.85312243852141,58.00674653948735,13422.0,37.0,4.0,9.0,6.0,921.0,0.63,3.5,659.71,4
118,1.3100000000000003,57,12,19,16.677522580285583,-55.829635859097095,11381.0,48.0,5.0,7.0,9.0,915.0,0.86,8.82,655.67,3
119,1.4200000000000004,18,11,19,-49.66864384734814,-86.71742234301132,3567.0,48.0,5.0,7.0,9.0,915.0,0.58,3.29,645.56,3
