TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,taskStatus
1,31,13,20,26.956093967945037,-3.237365904218109,null
2,100,12,39,-82.95216775898709,-159.31889203135003,null
3,46,14,11,31.799459555048784,113.85616035939262,null
4,45,18,48,-80.50413034184041,-157.10430654138517,null
5,100,18,94,-13.688488492856948,-124.64922994589206,null
6,47,12,88,18.341373043341306,-45.34016093684693,null
7,15,15,67,86.91270829581202,-98.35367691562476,null
8,63,10,75,12.870095138464961,6.571017780231813,null
9,38,10,58,-72.38405331333101,-143.4909111973186,null
10,76,12,97,-48.13013203423627,-28.46471671543725,null
11,93,20,67,76.96303113617236,-163.53617036797036,null
12,49,16,81,45.53660325552613,171.30103089443145,null
13,18,14,28,-71.04478294534421,27.84053929972538,null
14,63,18,37,-30.983408042086594,121.0211891571252,null
15,46,12,17,89.78268080839294,177.103452263993,null
16,57,18,23,-17.834197838109645,-164.68994730634375,null
17,22,12,71,-28.354609638273246,146.07017439352563,null
18,15,12,51,70.10580505066807,-25.90417604502244,null
19,99,13,89,-1.4912772733431154,-65.23761852026273,null
20,88,11,71,-52.97919857221486,-66.53981883173715,null
21,44,12,39,-45.23902449451942,108.48228406981315,null
22,39,10,19,66.08016641161547,-14.89005751488915,null
23,33,16,57,-35.96265708034536,-156.14363657517256,null
24,24,16,97,21.80025080579442,-30.840414432016274,null
25,34,18,26,-32.27578877621084,-145.52938367489082,null
26,53,20,82,35.45286953487752,-74.21394246923883,null
27,11,18,23,71.37971206209929,-108.84353097906566,null
28,81,10,43,49.80194035980381,57.83781573908698,null
29,19,19,77,80.15189365545794,33.63815852326118,null
30,73,20,34,32.505952942758015,65.93534646634035,null
31,83,17,96,67.34635854668153,-103.09636934401611,null
32,59,12,19,-7.810183617425253,-54.991158177839935,null
33,72,18,52,-72.58354422354265,-104.51215709151131,null
34,28,15,62,-27.271058752965132,51.097856269646485,null
35,91,14,76,-81.93167238641738,-65.9727466887662,null
36,33,11,73,-83.67873292061358,154.4566336923437,null
37,43,18,99,31.679943756419334,-70.8490555580458,null
38,78,20,86,-16.013485726766575,85.65066151266007,null
39,60,19,43,-74.8338552454514,-122.0907768953229,null
40,36,14,94,-7.935467131057777,88.05762829897242,null
41,18,17,22,77.72058191571372,77.85631457995055,null
42,72,17,70,-47.37408403969309,38.16102810445432,null
43,50,15,88,-54.11548699654695,83.1846988743979,null
44,33,16,53,-33.665197050741185,-9.130678481489639,null
45,11,14,17,-74.64918801224127,160.25657711646215,null
46,53,18,61,54.11076492430945,70.45810563608399,null
47,21,19,31,-48.703858927534135,121.62541563048273,null
48,89,14,91,-7.004777975336538,107.55351173845276,null
49,16,15,20,17.174551721568506,61.06175322955292,null
50,14,19,22,1.5520586693258878,56.663848558297616,null
51,78,14,18,-31.63584580235169,-134.60679028813635,null
52,93,16,39,-72.1209568786194,27.539911159745657,null
53,77,10,41,35.427596423075045,-158.56931096945647,null
54,24,10,34,78.64830110573868,48.38045909277639,null
55,30,13,28,-3.9390767959616824,149.02844677427828,null
56,34,11,98,-24.007632118393204,18.8415488615087,null
57,14,11,89,72.4157505745888,173.71924177913235,null
58,58,19,34,75.98182997823346,-82.1854658029594,null
59,59,19,52,83.61764382829895,-100.41547558150026,null
60,82,14,62,-68.47474922029635,108.50222551511047,null
61,71,11,14,10.517649511115891,-152.60082015472096,null
62,69,14,26,-30.003698799131712,-114.50171446213545,null
63,43,16,75,-34.88525686874933,-79.172191431612,null
64,29,19,20,-44.61648757854808,-114.17643566344486,null
65,25,14,81,49.838122610136736,149.3078248933333,null
66,99,12,25,-72.96181543155812,-127.87317048847673,null
67,64,10,67,-60.242782405173564,64.25465017152354,null
68,95,16,72,-45.03973959881453,-24.09894588358941,null
69,60,11,90,25.273792157623973,130.56045140826564,null
70,31,16,76,19.734375265352014,16.301295235172432,null
71,42,14,50,-26.07915031999,61.58289085677424,null
72,91,12,22,19.30343449256506,-123.4456060583388,null
73,82,20,94,-64.96591293774443,-66.98449099955243,null
74,11,12,38,75.76960208935301,-56.29359308154196,null
75,71,17,12,53.9021231682903,28.202163340992684,null
76,98,14,44,69.00227127602767,-20.395948338325013,null
77,67,16,72,-72.34856901661787,-3.1296686884173255,null
78,34,10,41,21.11005285798535,-126.99673299044858,null
79,32,14,93,-2.1658375100154075,-159.30198225476613,null
80,52,16,58,18.048643224190243,-4.415586443129513,null
81,94,18,38,79.10673116143286,24.025534817072383,null
82,75,15,64,79.62538946637608,-164.36461347625013,null
83,66,12,56,-84.82544767641298,51.04518675433934,null
84,72,14,72,-29.609028722236218,157.06625677746,null
85,13,15,98,76.91794263358102,-51.796243149014316,null
86,14,10,37,-6.6469521368976245,65.69926362661525,null
87,62,18,70,10.289815801453244,149.66560638824222,null
88,84,10,21,37.78409551134604,-153.80662758365582,null
89,74,18,23,-30.917142865813126,-61.58145121606475,null
90,91,20,24,63.17353150361339,75.96247946338772,null
91,85,11,85,7.689037874784788,-172.4703603393406,null
92,79,15,27,-73.23023399437406,-78.94015504164597,null
93,14,12,95,-79.08955782658163,122.86347978866615,null
94,89,16,12,-10.40637802112792,166.85114193397277,null
95,11,15,67,-33.49850729140657,-167.20351475022977,null
96,100,17,75,54.13043319142176,94.82008442114721,null
97,78,12,59,-28.948266388224013,2.519087131402415,null
98,59,12,58,88.96442575364861,-92.44867040519465,null
99,52,13,77,-60.84434228554195,-175.15500454818286,null
100,30,18,88,15.151713751241445,76.27950420795372,null
101,52,17,10,14.9696127132204,-142.38773573194464,null
102,100,19,85,-19.265851769834455,58.20936382981657,null
103,90,10,49,-59.21503494121389,0.7420242885623907,null
104,80,20,30,70.95318018635265,-101.49146112232643,null
105,46,12,17,-34.32644047709446,-81.07202354666823,null
106,60,17,79,70.87851054412405,2.787130181653197,null
107,59,12,99,53.47339437289014,78.61903524524604,null
108,55,14,84,80.98276300742293,-73.49988517492953,null
109,93,13,27,5.793589091869194,-82.3769395283154,null
110,73,16,33,35.69515441873733,-14.115284874621324,null
111,66,19,17,-81.01624991074286,-179.51156635079928,null
112,26,11,60,-3.9910843299939103,121.69158508418207,null
113,83,16,28,-1.9557759922303575,-130.02755993274758,null
114,46,13,62,21.418729440955488,112.00399581930702,null
115,10,18,16,56.416261011733525,-56.68813146756446,null
116,20,20,99,77.62654157786724,123.17209108062104,null
117,74,18,96,3.2053199313068745,26.473408964301115,null
118,13,20,69,-41.2739289293815,-136.88204701011108,null
119,26,20,22,27.98343448357049,18.169601107392396,null
120,99,20,70,7.83595980584073,170.18041370864432,null
121,25,17,25,40.10838480011057,-20.85970089599897,null
122,38,15,33,-51.71313865053197,154.89198078568234,null
123,97,19,65,16.903366678609018,-177.39895414785718,null
124,25,13,75,-8.901864528941076,168.9694282540994,null
125,36,20,18,13.209103475711984,25.825416379430578,null
126,34,20,31,-35.11137169993749,109.93595751295504,null
127,43,12,15,-7.123876488373824,-168.69252625829145,null
128,37,17,83,23.45284525231486,88.16518425388858,null
129,73,13,14,35.74509435997594,-113.65627312143373,null
130,36,11,49,-59.85619157850732,-103.09014301717673,null
