Cloudlet ID,STATUS,Data centerID,VM ID,Tim,Start Time,Finish Time
1,SUCCESS,3,1,1.05,0.5,1.55
3,SUCCESS,5,3,2.58,0.5,3.08
5,SUCCESS,7,5,3.07,0.5,3.57
6,SUCCESS,3,1,2.53,1.55,4.08
10,SUCCESS,7,5,1.26,3.57,4.83
4,SUCCESS,6,4,4.37,0.5,4.87
11,SUCCESS,3,1,1.23,4.08,5.32
2,SUCCESS,4,2,5.09,0.5,5.59
8,SUCCESS,5,3,3.55,3.08,6.64
16,SUCCESS,3,1,1.43,5.32,6.74
7,SUCCESS,4,2,1.51,5.59,7.1
15,SUCCESS,7,5,3.61,4.83,8.44
9,SUCCESS,6,4,5.5,4.87,10.37
21,SUCCESS,3,1,4.06,6.74,10.8
12,SUCCESS,4,2,3.78,7.1,10.88
13,SUCCESS,5,3,4.78,6.64,11.42
20,SUCCESS,7,5,3.14,8.44,11.59
14,SUCCESS,6,4,1.31,10.37,11.68
26,SUCCESS,3,1,1.77,10.8,12.58
18,SUCCESS,5,3,1.4,11.42,12.82
17,SUCCESS,4,2,2.2,10.88,13.08
25,SUCCESS,7,5,1.95,11.59,13.53
30,SUCCESS,7,5,1,13.53,14.54
19,SUCCESS,6,4,3.13,11.68,14.8
31,SUCCESS,3,1,3.73,12.58,16.3
35,SUCCESS,7,5,1.8,14.54,16.34
23,SUCCESS,5,3,5.22,12.82,18.05
22,SUCCESS,4,2,5.09,13.08,18.17
36,SUCCESS,3,1,2.06,16.3,18.36
24,SUCCESS,6,4,3.58,14.8,18.39
28,SUCCESS,5,3,2.74,18.05,20.79
40,SUCCESS,7,5,4.75,16.34,21.09
27,SUCCESS,4,2,4.97,18.17,23.14
29,SUCCESS,6,4,4.97,18.39,23.36
33,SUCCESS,5,3,2.72,20.79,23.51
38,SUCCESS,5,3,0.57,23.51,24.09
32,SUCCESS,4,2,1.89,23.14,25.03
37,SUCCESS,4,2,0.95,25.03,25.98
34,SUCCESS,6,4,3.44,23.36,26.8
39,SUCCESS,6,4,5.03,26.8,31.83
