TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1,0.1,73,20,24,54.183368117353695,34.691517045155734,2624.0,40.0,5.0,7.0,10.0,914.0,0.6,12.35,647.54,3
2,0.1,33,19,19,-30.022945432247624,-156.91547098621655,14606.0,40.0,5.0,7.0,10.0,913.0,0.48,6.28,656.36,4
3,0.1,98,10,12,-31.51945630194642,127.16527627432174,11766.0,40.0,5.0,7.0,10.0,912.0,0.3,15.4,656.42,5
4,0.1,68,20,20,-58.92487163409851,-94.74323795512656,18995.0,40.0,5.0,7.0,10.0,913.0,0.5,11.6,662.89,4
5,0.1,76,13,21,-39.96163765148609,-50.80590307876551,15629.0,40.0,5.0,7.0,10.0,912.0,0.52,12.31,659.11,5
6,0.1,13,17,25,-6.75586521112416,-177.96991767010124,11361.0,40.0,5.0,7.0,10.0,914.0,0.63,3.14,652.61,3
7,0.1,80,17,19,-72.4803566731605,-162.2396680376914,17790.0,40.0,5.0,7.0,10.0,913.0,0.48,13.19,662.31,4
8,0.1,61,19,24,66.1995391436144,-67.92225945284545,4918.0,40.0,5.0,7.0,10.0,912.0,0.6,10.48,647.69,5
9,0.1,84,11,23,-11.097375931175222,-122.09711870862284,13621.0,40.0,5.0,7.0,10.0,914.0,0.58,13.37,658.94,3
10,0.21000000000000002,82,20,15,58.349229773643344,125.89632488210331,2609.0,40.0,5.0,7.0,10.0,913.0,0.38,13.7,647.3,4
11,0.21000000000000002,42,18,12,31.782195186963666,-136.70791785698677,8656.0,40.0,5.0,7.0,10.0,913.0,0.3,7.56,650.87,4
12,0.2038961038961039,38,12,25,49.55270739690698,-16.55889454485404,5173.0,40.0,5.0,7.0,10.0,912.0,0.63,6.54,646.38,5
13,0.2038961038961039,97,15,18,81.27083608967433,150.13423557775425,2432.0,40.0,5.0,7.0,10.0,914.0,0.45,15.6,648.61,3
14,0.32000000000000006,19,11,18,-1.229494124118716,-45.62254275824793,11459.0,40.0,5.0,7.0,10.0,913.0,0.45,3.62,652.14,4
15,0.3138961038961039,49,13,18,-74.20794777190483,61.12047444028431,15765.0,40.0,5.0,7.0,10.0,914.0,0.45,8.26,659.0,3
16,0.21000000000000002,42,15,23,35.68501385978716,167.9380227693157,6446.0,40.0,5.0,7.0,10.0,913.0,0.58,7.35,648.66,4
17,0.2038961038961039,10,16,19,-31.172859303894136,-76.67553985200745,15636.0,40.0,5.0,7.0,10.0,912.0,0.48,2.62,655.23,5
18,0.2038961038961039,44,16,13,74.96023019457618,89.97552051288613,981.0,40.0,5.0,7.0,10.0,914.0,0.33,7.72,643.97,3
19,0.2038961038961039,69,11,22,64.17132278029862,-90.71801725455002,5369.0,40.0,5.0,7.0,10.0,912.0,0.55,11.12,648.38,5
20,0.3138961038961039,45,14,12,14.352000021450095,-51.01208948176537,10008.0,40.0,5.0,7.0,10.0,914.0,0.3,7.73,652.99,3
21,0.32000000000000006,70,12,14,24.719256515176355,81.25599742717861,4737.0,40.0,5.0,7.0,10.0,913.0,0.35,11.34,648.48,4
22,0.4238961038961039,69,11,25,-74.26216750271625,44.30535652852527,15901.0,40.0,5.0,7.0,10.0,914.0,0.63,11.12,660.34,3
23,0.43000000000000005,82,16,14,50.55889041366194,160.683249719495,4725.0,40.0,5.0,7.0,10.0,913.0,0.35,13.42,649.3,4
24,0.3138961038961039,71,11,11,79.99709249379663,97.14070445627785,1538.0,40.0,5.0,7.0,10.0,912.0,0.27,11.42,644.59,5
25,0.43000000000000005,84,11,19,-65.88917103562908,64.42142293875443,14832.0,40.0,5.0,7.0,10.0,913.0,0.48,13.37,659.42,4
26,0.3138961038961039,91,20,20,-69.9188553527888,13.468966541576435,15977.0,40.0,5.0,7.0,10.0,912.0,0.5,15.05,660.55,5
27,0.3138961038961039,99,12,10,17.06144021909971,138.773398475092,7083.0,40.0,5.0,7.0,10.0,914.0,0.25,15.69,653.23,3
28,0.54,62,15,22,47.88238174566269,7.660521549222949,4334.0,40.0,5.0,7.0,10.0,913.0,0.55,10.35,647.74,4
29,0.4238961038961039,66,20,21,54.82365116404264,-133.66148273046778,6213.0,40.0,5.0,7.0,10.0,914.0,0.52,11.3,650.69,3
30,0.4238961038961039,72,12,16,0.7574437284651339,-39.886835655107376,11032.0,40.0,5.0,7.0,10.0,912.0,0.4,11.64,654.21,5
31,0.32000000000000006,40,17,17,35.098590662924906,85.30998245918045,3616.0,40.0,5.0,7.0,10.0,913.0,0.43,7.19,645.72,4
32,0.3138961038961039,71,20,20,-19.904661165296417,98.47241726475085,9856.0,40.0,5.0,7.0,10.0,912.0,0.5,12.05,653.23,5
33,0.4238961038961039,56,17,16,-39.97354143879868,-55.80662479601277,15833.0,40.0,5.0,7.0,10.0,914.0,0.4,9.59,659.59,3
34,0.54,51,19,14,5.497248250397817,55.67885532598908,7045.0,40.0,5.0,7.0,10.0,913.0,0.35,8.98,649.84,4
35,0.5338961038961039,20,13,25,-25.401805727335528,55.48389888343053,10449.0,40.0,5.0,7.0,10.0,914.0,0.63,3.91,652.0,3
36,0.43000000000000005,84,16,20,-83.07863728866141,-143.9726141984151,18007.0,40.0,5.0,7.0,10.0,913.0,0.5,13.72,662.75,4
37,0.5338961038961039,13,10,14,73.39866317365383,97.25146940633664,1025.0,40.0,5.0,7.0,10.0,912.0,0.35,2.65,640.59,5
38,0.4238961038961039,40,13,16,-52.747784679070016,-22.34001572722016,15608.0,40.0,5.0,7.0,10.0,912.0,0.4,6.91,656.89,5
39,0.5338961038961039,15,13,20,-39.67163928210088,-109.35145243062983,16929.0,40.0,5.0,7.0,10.0,914.0,0.5,3.16,658.14,3
40,0.65,62,12,12,-83.27481537442456,15.303107291807692,17053.0,40.0,5.0,7.0,10.0,913.0,0.3,10.14,660.3,4
41,0.6438961038961039,63,20,23,58.87767629692334,-167.04187107744022,5064.0,40.0,5.0,7.0,10.0,912.0,0.58,10.85,647.98,5
42,0.65,15,20,17,19.17397905303092,-91.47545476550684,10357.0,40.0,5.0,7.0,10.0,913.0,0.43,3.65,651.05,4
43,0.5338961038961039,11,12,25,-88.33167042759453,18.490934848259712,17380.0,40.0,5.0,7.0,10.0,914.0,0.63,2.49,658.37,3
44,0.76,71,20,14,-66.79503870959815,-136.076339694134,18613.0,40.0,5.0,7.0,10.0,913.0,0.35,12.05,662.64,4
45,0.5338961038961039,77,16,22,76.29551034999125,170.10808333117592,3014.0,40.0,5.0,7.0,10.0,912.0,0.55,12.67,646.65,5
46,0.76,95,15,13,-74.7685798201327,-130.9807946167273,18733.0,40.0,5.0,7.0,10.0,913.0,0.33,15.3,664.05,4
47,0.6438961038961039,77,12,20,-37.71689210326532,32.98223622093013,12233.0,40.0,5.0,7.0,10.0,914.0,0.5,12.39,657.14,3
48,0.54,93,14,18,-75.41502906076254,41.26975185327626,16052.0,40.0,5.0,7.0,10.0,913.0,0.45,14.93,661.26,4
49,0.4238961038961039,79,13,21,-37.20496017573205,-4.044982186098139,13396.0,40.0,5.0,7.0,10.0,912.0,0.52,12.76,657.06,5
50,0.87,49,13,16,-36.03785637101352,15.196319697140666,12577.0,40.0,5.0,7.0,10.0,913.0,0.4,8.26,655.1,4
51,0.6438961038961039,27,12,13,65.47054943969064,65.72382853495188,520.0,40.0,5.0,7.0,10.0,914.0,0.33,4.89,642.38,3
52,0.87,18,16,18,-12.974131068403707,-101.66862679542686,13981.0,40.0,5.0,7.0,10.0,913.0,0.45,3.82,654.74,4
53,0.7538961038961038,36,17,13,25.164584470143154,131.9879295694788,5980.0,40.0,5.0,7.0,10.0,912.0,0.33,6.59,647.12,5
54,0.6438961038961039,87,16,16,-60.03334879220722,122.40585148198323,14634.0,40.0,5.0,7.0,10.0,914.0,0.4,14.17,660.22,3
55,0.65,64,15,20,-49.605993696155,67.92999331507687,13011.0,40.0,5.0,7.0,10.0,913.0,0.5,10.65,656.52,4
56,0.6438961038961039,10,19,11,5.231078235305887,-107.7587888306528,11950.0,40.0,5.0,7.0,10.0,912.0,0.27,2.83,651.56,5
57,0.7538961038961038,25,11,25,43.542400787251495,16.159490406767105,4370.0,40.0,5.0,7.0,10.0,914.0,0.63,4.52,646.17,3
58,0.5338961038961039,10,14,18,51.8266021282065,54.30256554061529,2098.0,40.0,5.0,7.0,10.0,912.0,0.45,2.48,641.63,5
59,0.98,77,10,19,21.98333568351032,-11.845998198606082,7694.0,40.0,5.0,7.0,10.0,913.0,0.48,12.25,651.84,4
60,0.8638961038961038,55,15,11,-55.28268014424516,14.48007881012515,14554.0,40.0,5.0,7.0,10.0,912.0,0.27,9.3,656.76,5
