TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
3,0.1,10,11,16,9355.0,18.0,1.0,3.0,10.0,3950.0,0.19,143.0,2822.26,5
5,0.1,87,18,53,5575.0,48.0,5.0,10.0,6.0,3950.0,2.52,1137.0,3220.56,3
6,0.1,78,18,55,15254.0,18.0,1.0,3.0,10.0,3950.0,0.85,912.0,3130.06,5
7,0.1,55,12,72,11749.0,48.0,3.0,1.0,7.0,3953.0,0.75,562.0,2992.13,4
9,0.21594202898550724,17,12,31,3968.0,18.0,1.0,3.0,10.0,3950.0,0.36,223.0,2854.31,5
4,0.1,31,16,72,11405.0,18.0,1.0,3.0,10.0,3950.0,5.14,389.0,2922.14,5
8,0.1,20,16,49,17804.0,48.0,5.0,10.0,6.0,3950.0,0.53,380.0,2917.16,3
2,0.1,70,17,93,10786.0,48.0,3.0,1.0,7.0,3953.0,1.35,717.0,3054.31,4
14,0.49779005524861875,26,10,13,9919.0,48.0,3.0,1.0,7.0,3953.0,0.14,270.0,2875.14,4
15,0.3376681614349776,68,17,56,10310.0,48.0,5.0,10.0,6.0,3950.0,2.67,918.0,3133.0,3
18,0.5191238471673254,92,13,34,11405.0,18.0,1.0,3.0,10.0,3950.0,2.43,1051.0,3186.13,5
16,0.6077900552486187,47,12,12,10583.0,48.0,3.0,1.0,7.0,3953.0,0.13,482.0,2959.94,4
1,0.1,92,14,71,14057.0,48.0,5.0,10.0,6.0,3950.0,0.72,1152.0,3226.02,3
13,0.4091238471673254,66,15,68,4664.0,18.0,1.0,3.0,10.0,3950.0,1.05,771.0,3073.72,5
21,0.7177900552486187,89,19,22,10782.0,48.0,3.0,1.0,7.0,3953.0,0.23,909.0,3130.77,4
23,0.6762395900064061,19,13,53,11125.0,48.0,5.0,10.0,6.0,3950.0,2.52,339.0,2901.36,3
10,0.1,49,12,98,8747.0,48.0,3.0,1.0,7.0,3953.0,2.33,502.01,2968.6,4
28,0.7946649727084509,10,20,33,9612.0,18.0,1.0,3.0,10.0,3950.0,0.51,170.0,2833.15,5
17,0.6077900552486187,55,20,76,5115.0,48.0,3.0,1.0,7.0,3953.0,1.1,570.0,2995.43,4
26,0.8393370165745856,94,17,37,6255.0,48.0,3.0,1.0,7.0,3953.0,0.39,957.0,3150.02,4
12,0.5191238471673254,80,10,67,12658.0,18.0,1.0,3.0,10.0,3950.0,0.78,910.0,3129.23,5
32,0.911800128122998,41,15,62,9840.0,48.0,5.0,10.0,6.0,3950.0,2.95,601.0,3006.29,3
20,0.6810286090720873,84,10,93,9602.0,18.0,1.0,3.0,10.0,3950.0,6.64,954.0,3148.59,5
27,1.0593370165745857,10,10,31,9361.0,48.0,3.0,1.0,7.0,3953.0,0.32,110.0,2811.2,4
31,0.9821649727084509,14,17,73,9797.0,18.0,1.0,3.0,10.0,3950.0,1.12,205.0,2847.34,5
19,0.7862395900064061,42,11,64,13025.0,48.0,5.0,10.0,6.0,3950.0,0.65,572.0,2994.0,3
30,1.0593370165745857,43,13,85,12013.0,48.0,3.0,1.0,7.0,3953.0,1.23,443.0,2944.67,4
40,1.3953467908902693,99,12,14,2254.0,18.0,1.0,3.0,10.0,3950.0,0.22,1125.0,3215.07,5
11,0.5662395900064061,64,14,97,2323.0,48.0,5.0,10.0,6.0,3950.0,1.05,844.0,3102.92,3
43,1.466184657883553,63,14,12,10762.0,48.0,3.0,1.0,7.0,3953.0,0.17,644.0,3024.75,4
37,1.1898270339525945,19,17,83,7458.0,48.0,5.0,10.0,6.0,3950.0,3.95,379.0,2917.79,3
35,1.2021649727084511,24,11,93,8454.0,18.0,1.0,3.0,10.0,3950.0,6.64,297.0,2885.79,5
22,0.9493370165745856,71,20,81,9938.0,48.0,3.0,1.0,7.0,3953.0,1.93,730.01,3059.68,4
24,1.092164972708451,82,11,84,12032.0,18.0,1.0,3.0,10.0,3950.0,0.98,935.0,3139.29,5
38,1.2306077348066298,36,18,96,18554.0,48.0,3.0,1.0,7.0,3953.0,1.0,378.01,2918.6,4
48,1.6434420289855074,64,15,39,8073.0,18.0,1.0,3.0,10.0,3950.0,2.79,749.0,3065.44,5
51,1.7961846578835532,84,12,23,6641.0,48.0,3.0,1.0,7.0,3953.0,0.24,852.0,3107.97,4
34,1.7534420289855075,84,10,25,15046.0,18.0,1.0,3.0,10.0,3950.0,0.29,954.0,3146.69,5
42,1.5053467908902693,72,14,81,3482.0,18.0,1.0,3.0,10.0,3950.0,1.25,834.0,3098.98,5
49,1.6234192669623033,94,20,92,13317.0,48.0,5.0,10.0,6.0,3950.0,4.38,1234.0,3259.91,3
44,1.576184657883553,50,15,100,3660.0,48.0,3.0,1.0,7.0,3953.0,1.45,515.0,2973.54,4
64,2.0359753207739626,99,20,23,16231.0,48.0,5.0,10.0,6.0,3950.0,1.1,1289.0,3280.93,3
57,2.0530641733956654,16,10,29,7618.0,48.0,3.0,1.0,7.0,3953.0,0.42,170.0,2835.23,4
25,1.4034192669623031,68,19,80,1419.0,48.0,5.0,10.0,6.0,3950.0,0.82,938.0,3140.45,3
66,2.1459753207739625,26,10,16,8394.0,48.0,5.0,10.0,6.0,3950.0,0.76,386.0,2919.63,3
39,1.9734420289855077,17,10,48,17016.0,18.0,1.0,3.0,10.0,3950.0,0.56,217.0,2851.97,5
54,1.8634420289855076,94,10,96,9749.0,18.0,1.0,3.0,10.0,3950.0,6.86,1064.0,3192.66,5
29,1.5134192669623032,75,14,81,13756.0,48.0,5.0,10.0,6.0,3950.0,0.88,965.0,3151.26,3
52,1.923256481087973,11,15,84,12375.0,48.0,3.0,1.0,7.0,3953.0,0.88,125.0,2817.36,4
70,2.3162991718426507,35,20,33,12676.0,18.0,1.0,3.0,10.0,3950.0,2.36,445.0,2943.71,5
33,1.686184657883553,32,10,96,11888.0,48.0,3.0,1.0,7.0,3953.0,2.29,330.01,2899.79,4
50,1.9734420289855077,53,16,91,14987.0,18.0,1.0,3.0,10.0,3950.0,1.4,631.0,3017.82,5
60,2.385857416064599,18,19,50,7773.0,48.0,3.0,1.0,7.0,3953.0,0.52,199.0,2846.86,4
68,2.2559753207739623,48,18,96,12154.0,48.0,5.0,10.0,6.0,3950.0,4.57,708.0,3049.57,3
61,2.1924872503187425,85,14,99,6071.0,48.0,3.0,1.0,7.0,3953.0,1.43,864.01,3113.13,4
45,2.3162991718426507,25,10,66,4002.0,18.0,1.0,3.0,10.0,3950.0,0.77,305.0,2887.23,5
36,2.2559753207739623,51,14,46,5750.0,48.0,5.0,10.0,6.0,3950.0,0.47,701.0,3045.54,3
72,2.6602116683194037,51,15,35,15398.0,48.0,3.0,1.0,7.0,3953.0,0.36,525.0,2977.21,4
85,2.6843609709981773,29,16,28,11799.0,48.0,5.0,10.0,6.0,3950.0,1.33,479.0,2957.0,3
71,2.4734420289855077,55,14,98,17244.0,18.0,1.0,3.0,10.0,3950.0,7.0,647.0,3025.9,5
82,2.7702116683194036,56,19,38,8821.0,48.0,3.0,1.0,7.0,3953.0,0.55,579.0,2998.87,4
75,2.8802116683194035,28,14,14,14182.0,48.0,3.0,1.0,7.0,3953.0,0.15,294.0,2884.75,4
65,2.5834420289855076,89,15,66,5767.0,18.0,1.0,3.0,10.0,3950.0,1.02,1024.0,3174.91,5
83,2.9902116683194033,57,15,11,12639.0,48.0,3.0,1.0,7.0,3953.0,0.16,585.0,3001.15,4
87,2.904360970998177,42,13,54,16924.0,48.0,5.0,10.0,6.0,3950.0,2.57,592.0,3002.57,3
47,2.5055155357227186,19,13,85,14708.0,48.0,3.0,1.0,7.0,3953.0,2.02,203.01,2848.91,4
59,2.7935869565217395,35,14,63,16078.0,18.0,1.0,3.0,10.0,3950.0,0.73,427.0,2936.02,5
88,2.9364440993788823,61,12,66,9393.0,18.0,1.0,3.0,10.0,3950.0,4.71,707.0,3049.21,5
41,2.365975320773962,26,17,98,7852.0,48.0,5.0,10.0,6.0,3950.0,1.07,456.0,2947.72,3
89,3.100211668319403,67,19,39,8138.0,48.0,3.0,1.0,7.0,3953.0,0.57,689.0,3042.87,4
76,2.9902116683194033,62,11,48,6963.0,48.0,3.0,1.0,7.0,3953.0,0.5,631.0,3019.65,4
101,3.14651343736589,85,19,45,6831.0,48.0,5.0,10.0,6.0,3950.0,2.14,1125.0,3215.64,3
81,3.046444099378882,37,19,93,5166.0,18.0,1.0,3.0,10.0,3950.0,1.43,464.0,2951.03,5
92,3.3384167965245313,51,11,54,10583.0,48.0,3.0,1.0,7.0,3953.0,0.78,521.0,2975.73,4
55,3.2284167965245314,46,16,44,8132.0,48.0,3.0,1.0,7.0,3953.0,1.05,476.0,2957.82,4
46,2.794360970998177,28,15,89,8308.0,48.0,5.0,10.0,6.0,3950.0,0.91,458.0,2948.47,3
100,3.2464440993788823,18,20,81,9692.0,18.0,1.0,3.0,10.0,3950.0,5.79,258.0,2869.94,5
102,3.598032181139916,35,18,31,17978.0,48.0,3.0,1.0,7.0,3953.0,0.45,368.0,2914.44,4
67,3.598032181139916,72,20,18,7034.0,48.0,3.0,1.0,7.0,3953.0,0.43,740.0,3063.23,4
104,3.408894389746842,100,12,74,3793.0,48.0,5.0,10.0,6.0,3950.0,3.52,1220.0,3254.06,3
62,3.2464440993788823,67,18,72,6967.0,18.0,1.0,3.0,10.0,3950.0,0.84,791.0,3081.65,5
84,3.3384167965245313,55,16,75,11487.0,48.0,3.0,1.0,7.0,3953.0,0.78,566.0,2993.73,4
56,3.6516128363487836,34,14,28,2779.0,48.0,5.0,10.0,6.0,3950.0,0.29,514.0,2970.69,3
98,3.8570706426783774,28,17,10,10217.0,48.0,3.0,1.0,7.0,3953.0,0.1,297.0,2885.93,4
93,3.5703077357425186,63,20,80,14112.0,18.0,1.0,3.0,10.0,3950.0,1.23,753.0,3066.57,5
53,3.298894389746842,86,13,70,12089.0,48.0,5.0,10.0,6.0,3950.0,0.76,1076.0,3195.63,3
111,3.6803077357425185,70,20,78,3184.0,18.0,1.0,3.0,10.0,3950.0,5.57,830.0,3098.67,5
115,3.7616128363487835,10,10,88,12266.0,48.0,5.0,10.0,6.0,3950.0,4.19,210.0,2850.26,3
99,3.9670706426783773,70,11,41,10133.0,48.0,3.0,1.0,7.0,3953.0,0.43,711.0,3051.63,4
128,4.152513180290618,42,11,32,6585.0,48.0,5.0,10.0,6.0,3950.0,1.52,572.0,2994.26,3
106,3.7470706426783775,27,17,98,8671.0,48.0,3.0,1.0,7.0,3953.0,1.42,287.01,2882.33,4
78,3.7903077357425183,77,14,81,13285.0,18.0,1.0,3.0,10.0,3950.0,0.94,889.0,3120.88,5
103,4.193589979694952,37,16,40,2749.0,48.0,3.0,1.0,7.0,3953.0,0.42,386.0,2921.63,4
69,3.7470706426783775,96,17,71,16130.0,48.0,3.0,1.0,7.0,3953.0,1.69,977.01,3158.41,4
105,4.023262281197064,98,12,66,17332.0,18.0,1.0,3.0,10.0,3950.0,1.02,1114.0,3210.91,5
63,4.026952642174026,83,13,55,7131.0,48.0,5.0,10.0,6.0,3950.0,0.6,1043.0,3182.38,3
86,4.372392715979672,82,16,20,14933.0,18.0,1.0,3.0,10.0,3950.0,0.23,950.0,3145.07,5
121,4.133262281197063,42,10,96,11413.0,18.0,1.0,3.0,10.0,3950.0,6.86,492.0,2963.86,5
73,4.5436299857572,96,13,15,8421.0,48.0,5.0,10.0,6.0,3950.0,0.16,1186.0,3239.45,3
133,4.5923927159796705,58,15,14,14751.0,18.0,1.0,3.0,10.0,3950.0,1.0,683.0,3038.5,5
120,4.3035899796949515,45,14,92,9493.0,48.0,3.0,1.0,7.0,3953.0,1.33,464.0,2953.1,4
113,4.413589979694951,50,13,61,12779.0,48.0,3.0,1.0,7.0,3953.0,0.64,513.0,2972.49,4
58,3.916952642174026,48,11,85,13836.0,48.0,5.0,10.0,6.0,3950.0,0.87,638.0,3020.46,3
135,4.296010938138152,32,15,97,11671.0,48.0,5.0,10.0,6.0,3950.0,4.62,502.0,2967.19,3
91,4.5923927159796705,38,10,30,13707.0,18.0,1.0,3.0,10.0,3950.0,0.35,448.0,2944.31,5
118,4.74532074892572,90,15,12,7597.0,48.0,3.0,1.0,7.0,3953.0,0.13,915.0,3133.14,4
114,4.482392715979671,38,16,94,4621.0,18.0,1.0,3.0,10.0,3950.0,1.45,466.0,2951.84,5
74,4.796487128614342,59,14,26,14680.0,48.0,5.0,10.0,6.0,3950.0,0.27,789.0,3080.68,3
132,4.74532074892572,86,16,71,10463.0,48.0,3.0,1.0,7.0,3953.0,1.03,876.0,3117.81,4
136,4.70239271597967,58,14,97,4743.0,18.0,1.0,3.0,10.0,3950.0,6.93,680.0,3039.08,5
148,4.796487128614342,54,19,85,10005.0,48.0,5.0,10.0,6.0,3950.0,4.05,784.0,3079.82,3
79,4.413589979694951,45,19,95,8416.0,48.0,3.0,1.0,7.0,3953.0,2.26,469.01,2955.38,4
152,5.163637304724259,95,16,14,10085.0,18.0,1.0,3.0,10.0,3950.0,1.0,1093.0,3202.5,5
145,5.08608997969495,34,10,49,7778.0,48.0,3.0,1.0,7.0,3953.0,0.71,350.0,2907.31,4
123,4.8553207489257195,29,17,77,6472.0,48.0,3.0,1.0,7.0,3953.0,0.8,307.0,2890.14,4
96,4.812392715979669,90,16,70,5849.0,18.0,1.0,3.0,10.0,3950.0,0.81,1038.0,3180.44,5
108,5.383637304724258,81,11,16,10964.0,18.0,1.0,3.0,10.0,3950.0,0.19,924.0,3134.66,5
154,5.273637304724258,29,14,26,13355.0,18.0,1.0,3.0,10.0,3950.0,1.86,361.0,2909.96,5
150,5.332842116447087,83,19,39,13148.0,48.0,3.0,1.0,7.0,3953.0,0.57,849.0,3106.87,4
159,5.493637304724257,18,17,22,15107.0,18.0,1.0,3.0,10.0,3950.0,1.57,249.0,2865.07,5
129,5.011256352343306,78,18,93,13518.0,18.0,1.0,3.0,10.0,3950.0,1.43,912.0,3130.23,5
