TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
8,0.1,36,10,16,-18.03563965097338,-73.9957661823396,14597.0,31.0,9.0,7.0,1.0,17796.0,1.23,430.0,12629.57,5
1,0.1,66,19,36,-87.32611055394025,-179.73611999358522,10306.0,36.0,2.0,5.0,1.0,17814.0,1.03,293.0,12587.31,3
4,0.1,53,12,38,-24.37610311410542,128.62425151983427,16023.0,36.0,2.0,5.0,1.0,17814.0,0.43,219.0,12557.53,3
7,0.1,58,15,76,33.06874169584107,-115.00048304881673,6571.0,49.0,6.0,4.0,6.0,17819.0,1.65,756.0,12776.2,4
5,0.1,72,18,48,-38.6579248229401,13.110218237372862,12503.0,31.0,9.0,7.0,1.0,17796.0,0.52,846.0,12795.76,5
10,0.33376623376623377,92,18,33,28.858574988956676,-4.506256351065161,8539.0,36.0,2.0,5.0,1.0,17814.0,0.94,366.0,12616.48,3
2,0.1,54,20,84,45.67398111141355,-98.94952509990647,6000.0,49.0,6.0,4.0,6.0,17819.0,1.02,728.0,12764.81,4
3,0.1,71,15,52,52.80901247643777,89.06313025245731,1285.0,31.0,9.0,7.0,1.0,17796.0,1.21,815.0,12783.56,5
6,0.1,39,14,57,15.541538085225312,-108.6471928912894,3401.0,36.0,2.0,5.0,1.0,17814.0,0.77,187.0,12544.83,3
15,0.4502304147465438,98,19,42,-9.745757965784009,-44.55334095965415,13515.0,49.0,6.0,4.0,6.0,17819.0,0.91,1252.0,12974.37,4
11,0.1,99,16,78,55.30485219518238,-87.25225026911254,5463.0,49.0,6.0,4.0,6.0,17819.0,0.86,1252.0,12974.36,4
19,0.5745242000572782,80,15,22,-82.94466398385455,107.51871133398595,16814.0,49.0,6.0,4.0,6.0,17819.0,0.27,1020.0,12881.38,4
18,0.6845242000572782,93,20,10,53.21941218908404,-63.9809226977616,6281.0,49.0,6.0,4.0,6.0,17819.0,0.11,1196.0,12951.73,4
12,0.4437662337662338,55,13,59,36.094923172065776,164.70627799591347,12036.0,36.0,2.0,5.0,1.0,17814.0,0.66,230.0,12562.0,3
9,0.2467889908256881,96,11,73,-4.836952436751687,64.31151832845256,7485.0,31.0,9.0,7.0,1.0,17796.0,5.62,1037.0,12873.69,5
20,0.7945242000572782,15,16,23,12.653942280593611,4.2185297137405655,10968.0,49.0,6.0,4.0,6.0,17819.0,0.25,244.0,12570.97,4
22,0.9088040629095675,63,17,12,46.7709851385419,-65.73914304245174,7451.0,31.0,9.0,7.0,1.0,17796.0,0.92,749.0,12757.08,5
14,0.6637662337662338,29,19,42,86.48460616859873,160.2465171545739,9945.0,36.0,2.0,5.0,1.0,17814.0,0.57,182.0,12542.77,3
21,0.7945242000572782,28,10,31,-15.387790068313876,-141.41465166794202,10362.0,49.0,6.0,4.0,6.0,17819.0,0.38,376.0,12623.81,4
16,0.5537662337662338,96,19,89,9.33809770618845,100.92068122153012,18712.0,36.0,2.0,5.0,1.0,17814.0,2.54,383.0,12623.76,3
28,0.6845242000572782,15,16,84,64.9581194563338,-9.355268023397542,5387.0,49.0,6.0,4.0,6.0,17819.0,1.83,244.0,12571.45,4
17,0.6335747051114023,15,18,66,-18.762981924354534,-178.96472633371928,12640.0,31.0,9.0,7.0,1.0,17796.0,1.53,276.0,12568.06,5
32,1.0620584466326206,87,20,32,-42.19670451998763,-95.26154872625197,14980.0,49.0,6.0,4.0,6.0,17819.0,0.39,1124.0,12923.02,4
13,0.5235747051114024,17,18,90,66.01447259185716,164.19025606227933,3980.0,31.0,9.0,7.0,1.0,17796.0,0.98,296.0,12575.89,5
23,0.8525774225774225,11,19,70,-29.97969773921792,-2.547049457441773,8994.0,36.0,2.0,5.0,1.0,17814.0,0.79,128.0,12521.24,3
26,1.0264904660556833,48,18,50,-4.33101441326626,93.04665043224304,19281.0,36.0,2.0,5.0,1.0,17814.0,0.68,234.0,12563.6,3
37,1.1720584466326207,90,14,64,-0.2294748121628487,146.78088179782736,7439.0,49.0,6.0,4.0,6.0,17819.0,1.39,1136.0,12928.12,4
30,1.3223159028811338,52,20,25,55.64324213607037,126.69892831480269,2937.0,31.0,9.0,7.0,1.0,17796.0,0.27,660.0,12721.28,5
47,1.466390243867644,38,13,23,71.81770253754286,-90.34320528329604,3860.0,49.0,6.0,4.0,6.0,17819.0,0.5,508.0,12676.65,4
25,0.9520584466326206,13,10,92,67.34669009317602,165.90067128109933,391.0,49.0,6.0,4.0,6.0,17819.0,1.01,196.0,12552.0,4
27,1.1883873314525624,30,13,46,-31.57279790733844,164.4737760705341,13004.0,31.0,9.0,7.0,1.0,17796.0,1.07,391.0,12613.92,5
38,1.339287668852886,66,15,55,12.760961357552958,126.22853466189724,16607.0,36.0,2.0,5.0,1.0,17814.0,0.62,273.0,12579.19,3
34,1.2820584466326208,95,17,81,76.76453515851139,25.659445260810458,3774.0,49.0,6.0,4.0,6.0,17819.0,0.99,1208.0,12956.8,4
24,1.0188958060288336,65,16,75,63.19641342041584,-0.4715457905063545,3675.0,31.0,9.0,7.0,1.0,17796.0,5.77,762.0,12763.73,5
33,1.1364904660556834,67,18,100,-44.14457377153293,-136.69320365122954,7571.0,36.0,2.0,5.0,1.0,17814.0,2.86,291.0,12587.06,3
45,1.7345823342631244,59,10,29,-11.629962965758992,161.45223073584748,8665.0,49.0,6.0,4.0,6.0,17819.0,0.35,748.0,12772.61,4
35,1.6555301885954197,12,19,32,-28.841213612258258,-65.69864018652437,15390.0,31.0,9.0,7.0,1.0,17796.0,0.74,253.0,12558.62,5
51,1.8984241421727288,98,17,14,-60.315456708516656,-80.03893375180421,17178.0,49.0,6.0,4.0,6.0,17819.0,0.17,1244.0,12970.95,4
