TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
4,0.1,22,16,15,8979.0,34.0,1.0,5.0,1.0,3820.0,0.17,124.0,2723.65,3
7,0.1,89,19,61,11242.0,34.0,1.0,5.0,1.0,3820.0,0.67,273.0,2783.4,3
10,0.1,23,18,36,2256.0,42.0,5.0,9.0,4.0,3778.0,0.5,369.0,2792.35,4
1,0.1,49,19,83,14668.0,34.0,1.0,5.0,1.0,3820.0,2.52,193.0,2751.96,3
13,0.34596774193548385,72,14,11,16083.0,34.0,1.0,5.0,1.0,3820.0,0.12,214.0,2759.64,3
3,0.1,87,15,85,8717.0,19.0,4.0,3.0,7.0,3844.0,1.23,1002.0,3091.97,5
15,0.4487394957983193,59,16,21,8280.0,34.0,1.0,5.0,1.0,3820.0,0.23,198.0,2753.27,3
12,0.3857142857142857,60,20,25,9282.0,42.0,5.0,9.0,4.0,3778.0,0.35,720.0,2932.71,4
20,0.47117903930131,58,18,49,6879.0,19.0,4.0,3.0,7.0,3844.0,0.71,692.0,2967.81,5
2,0.1,14,14,86,11765.0,42.0,5.0,9.0,4.0,3778.0,1.04,252.0,2745.71,4
6,0.1,55,14,94,12275.0,42.0,5.0,9.0,4.0,3778.0,3.92,621.0,2894.18,4
17,0.4487394957983193,12,17,71,12969.0,34.0,1.0,5.0,1.0,3820.0,2.15,109.0,2718.25,3
27,0.6851528384279475,24,13,26,10280.0,19.0,4.0,3.0,7.0,3844.0,0.38,303.0,2812.11,5
5,0.1,63,20,63,11300.0,19.0,4.0,3.0,7.0,3844.0,0.88,753.0,2992.26,5
8,0.1,66,11,65,12756.0,19.0,4.0,3.0,7.0,3844.0,0.98,759.0,2994.69,5
14,0.584126984126984,84,19,28,5465.0,42.0,5.0,9.0,4.0,3778.0,0.39,927.0,3015.52,4
19,0.5587394957983193,11,12,51,7761.0,34.0,1.0,5.0,1.0,3820.0,0.56,82.0,2706.97,3
30,0.7951528384279475,51,20,38,15753.0,19.0,4.0,3.0,7.0,3844.0,0.55,621.0,2939.37,5
9,0.22096774193548388,91,15,81,6133.0,34.0,1.0,5.0,1.0,3820.0,0.93,257.0,2777.08,3
21,0.8052380952380951,50,18,29,14294.0,42.0,5.0,9.0,4.0,3778.0,0.4,612.0,2889.52,4
31,0.7436134453781512,81,15,71,9756.0,34.0,1.0,5.0,1.0,3820.0,2.15,237.0,2769.45,3
28,0.8536134453781512,95,11,42,17411.0,34.0,1.0,5.0,1.0,3820.0,0.46,245.0,2772.14,3
23,0.694126984126984,89,13,57,14868.0,42.0,5.0,9.0,4.0,3778.0,2.38,918.0,3012.51,4
25,1.0353968253968253,80,13,13,3939.0,42.0,5.0,9.0,4.0,3778.0,0.18,837.0,2979.45,4
41,1.0736134453781512,46,18,19,12592.0,34.0,1.0,5.0,1.0,3820.0,0.58,182.0,2746.97,3
36,0.9610917030567685,45,11,51,19224.0,19.0,4.0,3.0,7.0,3844.0,0.74,528.0,2902.22,5
16,0.694126984126984,18,10,99,7671.0,42.0,5.0,9.0,4.0,3778.0,1.19,252.0,2745.76,4
42,1.1836134453781513,12,18,22,5791.0,34.0,1.0,5.0,1.0,3820.0,0.67,114.0,2719.8,3
34,1.0736134453781512,49,15,66,13171.0,34.0,1.0,5.0,1.0,3820.0,0.73,173.0,2743.42,3
18,0.7951528384279475,26,12,71,11292.0,19.0,4.0,3.0,7.0,3844.0,1.08,322.0,2819.92,5
48,1.4036134453781515,40,13,11,12530.0,34.0,1.0,5.0,1.0,3820.0,0.12,145.0,2732.04,3
49,1.1837991266375545,79,15,68,10877.0,19.0,4.0,3.0,7.0,3844.0,0.99,914.0,3056.7,5
11,0.7951528384279475,67,11,68,8708.0,19.0,4.0,3.0,7.0,3844.0,0.94,770.0,2999.08,5
35,1.2899751386498375,43,18,46,7481.0,42.0,5.0,9.0,4.0,3778.0,0.55,549.0,2864.37,4
51,1.2936134453781514,90,17,80,12643.0,34.0,1.0,5.0,1.0,3820.0,2.42,265.0,2780.73,3
29,1.4406798605825086,95,18,27,14095.0,19.0,4.0,3.0,7.0,3844.0,0.41,1099.0,3130.52,5
32,1.1453968253968254,65,11,89,5090.0,42.0,5.0,9.0,4.0,3778.0,3.71,684.0,2919.31,4
65,1.6270588235294121,100,19,26,14207.0,34.0,1.0,5.0,1.0,3820.0,0.79,295.0,2792.24,3
22,0.9636134453781512,57,20,95,9076.0,34.0,1.0,5.0,1.0,3820.0,1.09,214.0,2759.93,3
50,1.5136134453781516,60,10,42,10698.0,34.0,1.0,5.0,1.0,3820.0,0.46,170.0,2742.14,3
46,1.6897829588878446,15,13,12,4847.0,42.0,5.0,9.0,4.0,3778.0,0.5,252.0,2745.55,4
26,1.1453968253968254,86,16,77,11319.0,42.0,5.0,9.0,4.0,3778.0,1.07,918.0,3012.12,4
43,1.5670835723847771,67,14,50,16041.0,42.0,5.0,9.0,4.0,3778.0,0.6,729.0,2936.38,4
60,1.5506798605825087,70,15,85,17118.0,19.0,4.0,3.0,7.0,3844.0,1.23,815.0,3017.17,5
58,1.7370588235294122,96,10,70,13193.0,34.0,1.0,5.0,1.0,3820.0,0.77,242.0,2771.03,3
57,1.9097829588878448,69,17,19,6552.0,42.0,5.0,9.0,4.0,3778.0,0.23,774.0,2954.27,4
38,1.7997829588878447,26,11,20,6385.0,42.0,5.0,9.0,4.0,3778.0,0.28,333.0,2777.88,4
72,1.7370588235294122,71,20,86,8969.0,34.0,1.0,5.0,1.0,3820.0,2.61,242.0,2771.58,3
59,2.0197829588878444,98,17,23,16707.0,42.0,5.0,9.0,4.0,3778.0,0.28,1035.0,3058.68,4
37,1.7370588235294122,11,17,53,13635.0,34.0,1.0,5.0,1.0,3820.0,0.61,107.0,2716.98,3
24,1.5506798605825087,79,15,73,12174.0,19.0,4.0,3.0,7.0,3844.0,1.01,914.0,3056.7,5
47,1.7997829588878447,17,15,79,12390.0,42.0,5.0,9.0,4.0,3778.0,3.29,288.0,2760.79,4
76,2.0193168880455414,85,14,57,14064.0,34.0,1.0,5.0,1.0,3820.0,0.63,240.0,2770.19,3
77,1.9197355875165258,72,18,88,10741.0,19.0,4.0,3.0,7.0,3844.0,1.28,846.0,3029.58,5
33,1.6882945394815914,51,18,74,9019.0,19.0,4.0,3.0,7.0,3844.0,1.12,615.0,2937.14,5
64,2.281036562258382,47,19,18,5105.0,42.0,5.0,9.0,4.0,3778.0,0.75,594.0,2882.43,4
84,2.1293168880455413,29,17,84,14824.0,34.0,1.0,5.0,1.0,3820.0,2.55,143.0,2731.97,3
81,2.349316888045541,51,16,33,4229.0,34.0,1.0,5.0,1.0,3820.0,0.36,182.0,2746.91,3
40,2.0197829588878444,74,18,51,7812.0,42.0,5.0,9.0,4.0,3778.0,0.71,828.0,2976.01,4
61,2.1583371757553143,75,18,72,15200.0,42.0,5.0,9.0,4.0,3778.0,0.87,837.0,2979.66,4
89,2.376270240981872,71,18,64,11981.0,19.0,4.0,3.0,7.0,3844.0,0.93,835.0,3025.08,5
44,2.239316888045541,45,18,56,3574.0,34.0,1.0,5.0,1.0,3820.0,0.64,180.0,2746.19,3
70,2.3914660101111425,58,12,40,5454.0,42.0,5.0,9.0,4.0,3778.0,1.67,630.0,2897.1,4
56,2.6892464082407157,96,20,13,14987.0,34.0,1.0,5.0,1.0,3820.0,0.15,292.0,2790.85,3
45,2.376270240981872,45,18,47,11239.0,19.0,4.0,3.0,7.0,3844.0,0.71,549.0,2910.61,5
73,2.721466010111142,50,19,21,15672.0,42.0,5.0,9.0,4.0,3778.0,0.88,621.0,2893.26,4
93,2.479568988885877,17,13,100,6959.0,34.0,1.0,5.0,1.0,3820.0,3.03,99.0,2714.51,3
88,2.479568988885877,43,10,94,9719.0,34.0,1.0,5.0,1.0,3820.0,1.03,136.0,2728.71,3
53,2.8025352143403115,100,17,12,8439.0,19.0,4.0,3.0,7.0,3844.0,0.18,1151.0,3151.25,5
52,2.5014660101111423,18,12,63,8702.0,42.0,5.0,9.0,4.0,3778.0,0.88,270.0,2752.86,4
95,2.6557462235146234,62,11,64,11461.0,19.0,4.0,3.0,7.0,3844.0,0.93,715.0,2977.08,5
112,2.9092464082407155,48,11,36,8209.0,34.0,1.0,5.0,1.0,3820.0,1.09,151.0,2734.73,3
75,2.611466010111142,96,20,87,9151.0,42.0,5.0,9.0,4.0,3778.0,1.05,1044.0,3062.52,4
39,2.2662702409818722,74,20,91,8340.0,19.0,4.0,3.0,7.0,3844.0,1.26,874.0,3040.78,5
62,2.7992464082407156,37,20,37,9684.0,34.0,1.0,5.0,1.0,3820.0,0.43,174.0,2743.73,3
100,2.9092464082407155,60,18,46,13278.0,34.0,1.0,5.0,1.0,3820.0,0.51,210.0,2758.15,3
55,2.912626957459578,73,19,36,10632.0,19.0,4.0,3.0,7.0,3844.0,0.55,860.0,3034.96,5
114,3.060506912442396,52,15,42,11347.0,34.0,1.0,5.0,1.0,3820.0,1.27,179.0,2745.98,3
119,3.280506912442396,17,11,18,5630.0,34.0,1.0,5.0,1.0,3820.0,0.55,89.0,2709.77,3
79,2.850300365939363,46,10,95,7775.0,42.0,5.0,9.0,4.0,3778.0,3.96,504.0,2847.39,4
104,3.0226269574595777,17,12,96,16187.0,19.0,4.0,3.0,7.0,3844.0,1.39,223.0,2780.42,5
121,3.3905069124423957,49,19,10,8618.0,34.0,1.0,5.0,1.0,3820.0,0.3,193.0,2751.29,3
54,3.1612408188457164,55,14,35,4018.0,19.0,4.0,3.0,7.0,3844.0,0.49,647.0,2949.75,5
103,3.170506912442396,93,17,92,13985.0,34.0,1.0,5.0,1.0,3820.0,1.01,271.0,2782.7,3
66,3.001094016733014,49,20,82,12569.0,42.0,5.0,9.0,4.0,3778.0,1.14,621.0,2893.34,4
87,3.1336241372149414,88,10,93,1952.0,42.0,5.0,9.0,4.0,3778.0,1.12,882.0,2997.74,4
68,3.170506912442396,78,10,75,7980.0,34.0,1.0,5.0,1.0,3820.0,0.86,206.0,2756.66,3
63,3.5515464957016114,18,10,23,7894.0,19.0,4.0,3.0,7.0,3844.0,0.32,228.0,2782.1,5
117,3.6105069124423954,11,10,43,8099.0,34.0,1.0,5.0,1.0,3820.0,0.47,72.0,2702.94,3
122,3.4415464957016115,62,10,100,11833.0,19.0,4.0,3.0,7.0,3844.0,1.45,712.0,2976.04,5
67,3.2712408188457163,86,18,60,8545.0,19.0,4.0,3.0,7.0,3844.0,0.91,1000.0,3091.07,5
127,3.5005069124423955,60,16,98,9980.0,34.0,1.0,5.0,1.0,3820.0,2.97,200.0,2754.89,3
125,3.8817972350230403,83,15,15,14004.0,34.0,1.0,5.0,1.0,3820.0,0.16,241.0,2770.45,3
69,3.7792692679788393,85,18,22,12719.0,19.0,4.0,3.0,7.0,3844.0,0.31,989.0,3086.49,5
94,3.4281026648223034,45,10,97,12526.0,42.0,5.0,9.0,4.0,3778.0,4.04,495.0,2843.81,4
136,3.889269267978839,59,14,33,9740.0,19.0,4.0,3.0,7.0,3844.0,0.48,691.0,2967.34,5
97,3.7603248870445256,11,14,50,13629.0,42.0,5.0,9.0,4.0,3778.0,0.6,225.0,2734.78,4
141,3.99179723502304,95,17,53,11713.0,34.0,1.0,5.0,1.0,3820.0,1.61,275.0,2784.48,3
137,4.1092692679788385,84,10,33,9244.0,19.0,4.0,3.0,7.0,3844.0,0.48,954.0,3072.54,5
83,3.6503248870445257,25,16,79,5658.0,42.0,5.0,9.0,4.0,3778.0,1.1,369.0,2792.53,4
131,3.99179723502304,12,14,78,11596.0,34.0,1.0,5.0,1.0,3820.0,0.86,94.0,2711.86,3
107,4.127993598700967,51,13,48,18185.0,42.0,5.0,9.0,4.0,3778.0,0.58,576.0,2875.17,4
78,3.7717972350230404,83,17,78,11107.0,34.0,1.0,5.0,1.0,3820.0,0.9,251.0,2774.67,3
145,4.2533740714722885,84,13,53,9863.0,19.0,4.0,3.0,7.0,3844.0,0.77,963.0,3076.23,5
74,3.889269267978839,86,14,65,15479.0,19.0,4.0,3.0,7.0,3844.0,0.98,988.0,3086.29,5
101,4.017993598700968,25,11,76,5367.0,42.0,5.0,9.0,4.0,3778.0,3.17,324.0,2775.15,4
144,4.214486310653292,32,13,75,16545.0,34.0,1.0,5.0,1.0,3820.0,2.27,129.0,2726.28,3
71,3.999269267978839,77,10,59,17310.0,19.0,4.0,3.0,7.0,3844.0,0.82,877.0,3041.85,5
85,4.482731869637426,24,15,10,5585.0,19.0,4.0,3.0,7.0,3844.0,0.15,309.0,2814.45,5
138,4.324486310653292,77,17,78,11665.0,34.0,1.0,5.0,1.0,3820.0,0.86,239.0,2769.86,3
115,4.525429054811122,29,15,22,18712.0,42.0,5.0,9.0,4.0,3778.0,0.92,396.0,2803.28,4
151,4.482731869637426,87,13,62,4020.0,19.0,4.0,3.0,7.0,3844.0,0.9,996.0,3089.47,5
80,4.592731869637426,12,10,16,4921.0,19.0,4.0,3.0,7.0,3844.0,0.22,162.0,2755.67,5
91,4.434486310653291,15,12,42,7085.0,34.0,1.0,5.0,1.0,3820.0,0.48,90.0,2710.14,3
110,4.415429054811122,35,14,55,10205.0,42.0,5.0,9.0,4.0,3778.0,0.66,441.0,2821.2,4
150,4.65448631065329,11,10,54,9508.0,34.0,1.0,5.0,1.0,3820.0,0.59,72.0,2702.98,3
90,4.27085074155811,59,17,74,4940.0,42.0,5.0,9.0,4.0,3778.0,1.03,684.0,2918.51,4
164,4.749937109812098,42,18,39,10702.0,19.0,4.0,3.0,7.0,3844.0,0.57,516.0,2897.37,5
162,4.544486310653291,42,15,88,15401.0,34.0,1.0,5.0,1.0,3820.0,2.67,159.0,2738.4,3
116,4.660398379964496,43,19,68,6607.0,42.0,5.0,9.0,4.0,3778.0,2.83,558.0,2868.65,4
171,4.920242786667993,61,11,48,6645.0,19.0,4.0,3.0,7.0,3844.0,0.7,704.0,2972.61,5
172,4.987389536459741,12,15,55,4801.0,34.0,1.0,5.0,1.0,3820.0,1.67,99.0,2714.1,3
99,4.880398379964495,71,10,44,13776.0,42.0,5.0,9.0,4.0,3778.0,0.61,729.0,2936.38,4
157,4.8773895364597415,36,17,99,5971.0,34.0,1.0,5.0,1.0,3820.0,1.09,157.0,2737.13,3
124,4.770398379964496,90,15,83,6764.0,42.0,5.0,9.0,4.0,3778.0,1.0,945.0,3022.9,4
177,5.129849773567556,32,13,50,11304.0,19.0,4.0,3.0,7.0,3844.0,0.72,391.0,2847.42,5
175,5.32848197343453,63,19,26,12630.0,34.0,1.0,5.0,1.0,3820.0,0.29,221.0,2762.49,3
130,5.076717398369403,43,16,46,2257.0,42.0,5.0,9.0,4.0,3778.0,1.92,531.0,2857.58,4
82,4.749937109812098,93,10,63,3544.0,19.0,4.0,3.0,7.0,3844.0,0.88,1053.0,3112.26,5
86,4.592731869637426,84,15,91,9390.0,19.0,4.0,3.0,7.0,3844.0,1.38,969.0,3078.81,5
181,5.218481973434531,53,17,59,11639.0,34.0,1.0,5.0,1.0,3820.0,1.79,191.0,2750.94,3
96,4.767389536459742,52,12,86,6773.0,34.0,1.0,5.0,1.0,3820.0,0.99,164.0,2739.9,3
105,5.227511049163054,96,18,54,11343.0,42.0,5.0,9.0,4.0,3778.0,0.75,1026.0,3055.23,4
106,5.548481973434529,87,11,10,9381.0,34.0,1.0,5.0,1.0,3820.0,0.11,229.0,2765.63,3
