Cloudlet ID,STATUS,Data centerID,VM ID,Tim,Start Time,Finish Time
4,SUCCESS,3,2,0.11,0.1,0.21
12,SUCCESS,5,9,0.18,0.1,0.28
8,SUCCESS,3,2,0.11,0.21,0.32
1,SUCCESS,3,1,0.33,0.1,0.43
9,SUCCESS,3,2,0.11,0.32,0.43
5,SUCCESS,3,3,0.33,0.1,0.43
11,SUCCESS,4,6,0.43,0.1,0.53
15,SUCCESS,5,9,0.28,0.28,0.56
13,SUCCESS,3,2,0.16,0.43,0.59
2,SUCCESS,4,4,0.54,0.1,0.64
7,SUCCESS,4,5,0.54,0.1,0.64
3,SUCCESS,5,7,0.57,0.1,0.67
21,SUCCESS,4,4,0.13,0.64,0.77
6,SUCCESS,5,8,0.69,0.1,0.79
18,SUCCESS,5,7,0.23,0.67,0.9
19,SUCCESS,3,2,0.32,0.59,0.91
22,SUCCESS,5,9,0.46,0.56,1.01
16,SUCCESS,3,1,0.59,0.43,1.02
10,SUCCESS,3,3,0.59,0.43,1.02
20,SUCCESS,5,8,0.33,0.79,1.12
17,SUCCESS,4,6,0.6,0.53,1.13
24,SUCCESS,4,4,0.47,0.77,1.24
14,SUCCESS,4,5,0.6,0.64,1.24
28,SUCCESS,3,1,0.24,1.02,1.26
27,SUCCESS,3,2,0.35,0.91,1.26
37,SUCCESS,5,9,0.35,1.01,1.37
31,SUCCESS,3,1,0.11,1.26,1.37
30,SUCCESS,5,8,0.35,1.12,1.48
26,SUCCESS,5,7,0.68,0.9,1.59
45,SUCCESS,5,9,0.22,1.37,1.59
36,SUCCESS,3,2,0.36,1.26,1.63
34,SUCCESS,3,1,0.36,1.37,1.74
52,SUCCESS,5,9,0.22,1.59,1.81
35,SUCCESS,4,4,0.6,1.24,1.84
23,SUCCESS,3,3,0.83,1.02,1.85
67,SUCCESS,5,9,0.11,1.81,1.92
25,SUCCESS,4,5,0.71,1.24,1.95
29,SUCCESS,4,6,0.82,1.13,1.95
49,SUCCESS,3,2,0.33,1.63,1.96
41,SUCCESS,5,7,0.44,1.59,2.03
68,SUCCESS,5,9,0.11,1.92,2.03
38,SUCCESS,4,5,0.11,1.95,2.06
53,SUCCESS,3,2,0.18,1.96,2.14
33,SUCCESS,5,8,0.66,1.48,2.14
40,SUCCESS,4,5,0.17,2.06,2.23
62,SUCCESS,3,2,0.11,2.14,2.25
32,SUCCESS,3,3,0.4,1.85,2.25
70,SUCCESS,5,9,0.25,2.03,2.28
43,SUCCESS,3,1,0.63,1.74,2.36
50,SUCCESS,4,4,0.53,1.84,2.37
44,SUCCESS,5,8,0.25,2.14,2.39
48,SUCCESS,5,7,0.48,2.03,2.51
55,SUCCESS,3,1,0.16,2.36,2.52
46,SUCCESS,4,6,0.58,1.95,2.53
51,SUCCESS,5,8,0.23,2.39,2.62
66,SUCCESS,3,2,0.38,2.25,2.63
39,SUCCESS,3,3,0.38,2.25,2.63
57,SUCCESS,4,6,0.11,2.53,2.64
82,SUCCESS,5,9,0.45,2.28,2.73
65,SUCCESS,4,4,0.4,2.37,2.77
78,SUCCESS,3,2,0.18,2.63,2.81
54,SUCCESS,5,8,0.22,2.62,2.84
79,SUCCESS,4,4,0.15,2.77,2.92
64,SUCCESS,3,1,0.4,2.52,2.92
42,SUCCESS,4,5,0.8,2.23,3.03
63,SUCCESS,5,7,0.55,2.51,3.06
81,SUCCESS,4,4,0.22,2.92,3.14
56,SUCCESS,4,5,0.11,3.03,3.14
61,SUCCESS,4,6,0.5,2.64,3.14
94,SUCCESS,5,9,0.47,2.73,3.2
84,SUCCESS,3,2,0.49,2.81,3.3
86,SUCCESS,4,4,0.23,3.14,3.37
60,SUCCESS,5,8,0.54,2.84,3.38
107,SUCCESS,5,9,0.18,3.2,3.38
47,SUCCESS,3,3,0.78,2.63,3.41
76,SUCCESS,4,6,0.34,3.14,3.48
75,SUCCESS,5,7,0.42,3.06,3.49
73,SUCCESS,3,1,0.6,2.92,3.52
88,SUCCESS,4,4,0.22,3.37,3.59
59,SUCCESS,4,5,0.45,3.14,3.59
74,SUCCESS,5,8,0.22,3.38,3.6
69,SUCCESS,4,5,0.12,3.59,3.71
113,SUCCESS,5,9,0.42,3.38,3.79
93,SUCCESS,4,4,0.23,3.59,3.82
95,SUCCESS,3,2,0.53,3.3,3.83
133,SUCCESS,5,9,0.11,3.79,3.9
91,SUCCESS,3,1,0.42,3.52,3.94
85,SUCCESS,5,7,0.54,3.49,4.02
58,SUCCESS,3,3,0.64,3.41,4.05
83,SUCCESS,4,6,0.63,3.48,4.1
77,SUCCESS,5,8,0.54,3.6,4.13
116,SUCCESS,3,2,0.33,3.83,4.16
97,SUCCESS,4,4,0.4,3.82,4.21
137,SUCCESS,5,9,0.34,3.9,4.24
118,SUCCESS,3,2,0.15,4.16,4.31
96,SUCCESS,4,6,0.22,4.1,4.32
99,SUCCESS,3,1,0.48,3.94,4.42
72,SUCCESS,3,3,0.37,4.05,4.42
104,SUCCESS,4,4,0.22,4.21,4.43
100,SUCCESS,5,7,0.45,4.02,4.48
123,SUCCESS,3,2,0.22,4.31,4.53
