Cloudlet ID,STATUS,Data centerID,VM ID,Tim,Start Time,Finish Time
1,SUCCESS,2,1,0.69,0.1,0.79
2,SUCCESS,2,1,0.67,0.79,1.46
3,SUCCESS,2,1,0.18,1.46,1.64
4,SUCCESS,2,1,0.97,1.64,2.61
5,SUCCESS,2,1,1.26,2.61,3.87
6,SUCCESS,2,1,0.8,3.87,4.67
7,SUCCESS,2,1,1.28,4.67,5.96
8,SUCCESS,2,1,0.57,5.96,6.53
9,SUCCESS,2,1,0.53,6.53,7.07
10,SUCCESS,2,1,1.01,7.07,8.08
11,SUCCESS,2,1,1.09,8.08,9.17
12,SUCCESS,2,1,0.27,9.17,9.44
13,SUCCESS,2,1,0.22,9.44,9.66
14,SUCCESS,2,1,0.91,9.66,10.57
15,SUCCESS,2,1,1.46,10.57,12.03
16,SUCCESS,2,1,0.72,12.03,12.75
17,SUCCESS,2,1,1.31,12.75,14.06
18,SUCCESS,2,1,1.42,14.06,15.48
19,SUCCESS,2,1,0.36,15.48,15.84
20,SUCCESS,2,1,0.67,15.84,16.51
21,SUCCESS,2,1,0.95,16.51,17.46
22,SUCCESS,2,1,0.24,17.46,17.7
23,SUCCESS,2,1,1.21,17.7,18.91
24,SUCCESS,2,1,1.18,18.91,20.09
25,SUCCESS,2,1,1.12,20.09,21.21
26,SUCCESS,2,1,0.65,21.21,21.86
27,SUCCESS,2,1,1.55,21.86,23.41
28,SUCCESS,2,1,0.19,23.41,23.6
29,SUCCESS,2,1,1.02,23.6,24.62
30,SUCCESS,2,1,1.11,24.62,25.72
31,SUCCESS,2,1,1.07,25.72,26.8
32,SUCCESS,2,1,1.02,26.8,27.82
33,SUCCESS,2,1,0.58,27.82,28.4
34,SUCCESS,2,1,0.39,28.4,28.79
35,SUCCESS,2,1,1.24,28.79,30.03
36,SUCCESS,2,1,0.99,30.03,31.03
37,SUCCESS,2,1,1.32,31.03,32.35
38,SUCCESS,2,1,1.15,32.35,33.5
39,SUCCESS,2,1,0.36,33.5,33.86
40,SUCCESS,2,1,0.57,33.86,34.42
41,SUCCESS,2,1,1.23,34.42,35.66
42,SUCCESS,2,1,0.7,35.66,36.35
43,SUCCESS,2,1,1.55,36.35,37.9
44,SUCCESS,2,1,1.07,37.9,38.97
45,SUCCESS,2,1,0.39,38.97,39.36
46,SUCCESS,2,1,1.4,39.36,40.76
47,SUCCESS,2,1,1.22,40.76,41.98
48,SUCCESS,2,1,0.54,41.98,42.52
49,SUCCESS,2,1,0.82,42.52,43.34
50,SUCCESS,2,1,0.23,43.34,43.57
