TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1,0.1,26,15,45,49.99243113814251,132.96177249698798,3517.0,40.0,5.0,7.0,10.0,171.0,1.09,4.95,125.52,3
2,0.1,18,15,83,-7.665248971579388,12.181351932002968,10342.0,40.0,5.0,7.0,10.0,177.0,1.83,3.75,136.29,4
3,0.1,43,19,71,-18.439173404483526,-62.6881519882846,13097.0,40.0,5.0,7.0,10.0,170.0,1.44,7.78,135.64,5
4,9.1,32,12,99,-28.269278800063837,123.18068251093683,11550.0,40.0,5.0,7.0,10.0,171.0,2.4,5.64,134.23,3
5,4.276470588235294,80,15,62,14.082358008674035,112.85890331982495,7356.0,40.0,5.0,7.0,10.0,170.0,1.26,13.05,131.95,5
6,7.6454545454545455,23,10,31,-67.54792719194324,-53.86567645802228,18361.0,40.0,5.0,7.0,10.0,177.0,0.68,4.15,144.13,4
7,10.463636363636365,48,17,10,-19.025774001714353,107.603512730982,10603.0,40.0,5.0,7.0,10.0,177.0,0.22,8.39,137.93,4
8,11.372727272727273,38,20,56,-67.83410449581757,85.64488267653314,15907.0,40.0,5.0,7.0,10.0,177.0,1.24,7.1,143.02,4
9,7.923529411764706,89,12,58,12.633444381540926,-114.1046966709383,9710.0,40.0,5.0,7.0,10.0,170.0,1.18,14.19,134.74,5
10,28.9,57,19,88,62.48510770688188,-142.21904958331706,4788.0,40.0,5.0,7.0,10.0,171.0,2.13,9.88,129.08,3
11,16.463636363636365,62,16,76,-12.830592016145545,-95.83026658945586,13076.0,40.0,5.0,7.0,10.0,177.0,1.68,10.42,141.65,4
12,11.33529411764706,87,10,79,-85.56237507852478,-92.49227603684628,19310.0,40.0,5.0,7.0,10.0,170.0,1.6,13.75,144.29,5
13,46.5,65,16,86,-22.63178520360502,36.57509751989491,10970.0,40.0,5.0,7.0,10.0,171.0,2.08,10.87,135.64,3
14,23.372727272727275,17,16,90,43.80310157301551,128.27936153943534,4075.0,40.0,5.0,7.0,10.0,177.0,1.99,3.67,130.04,4
15,15.982352941176472,64,11,31,-42.842170998364,-56.58110001010648,15712.0,40.0,5.0,7.0,10.0,170.0,0.63,10.37,139.05,5
