TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterLatitude,DataCenterLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1,0.1,13,16,28,-81.8645533814995,-39.09114430695419,-77.10527729291653,94.68842319072581,2159.0,50.0,22.0,27.0,16.0,3369.0,1.2,9.26,2364.52,4
2,0.3616822429906542,40,18,82,-39.60982988166188,16.907338691470187,-77.10527729291653,94.68842319072581,5433.0,50.0,22.0,27.0,16.0,3369.0,3.51,20.06,2372.81,4
3,0.1,37,14,82,-6.535298039714249,-97.81080045129805,63.24689495353044,-87.86374550916128,7805.0,56.0,15.0,23.0,23.0,3371.0,1.78,17.28,2374.95,5
4,0.1,21,12,21,89.45966644781467,-89.73917280780636,69.11788034887269,60.650919370546035,2374.0,41.0,23.0,30.0,23.0,3376.0,0.47,13.26,2371.02,3
5,0.7776859504132231,59,15,54,63.09962258127257,-106.87341919867696,63.24689495353044,-87.86374550916128,950.0,56.0,15.0,23.0,23.0,3371.0,1.17,25.87,2371.35,5
6,0.3326415094339623,34,18,76,3.811058132406231,88.68550400969417,69.11788034887269,60.650919370546035,7551.0,41.0,23.0,30.0,23.0,3376.0,1.7,21.04,2379.68,3
7,0.8356603773584905,79,10,58,45.95061472664426,138.15648058761258,69.11788034887269,60.650919370546035,4839.0,41.0,23.0,30.0,23.0,3376.0,1.3,39.34,2384.17,3
8,1.2239669421487602,61,16,71,23.554743500684552,-109.84281831144342,63.24689495353044,-87.86374550916128,4704.0,56.0,15.0,23.0,23.0,3371.0,1.54,26.86,2375.61,5
9,1.2977358490566038,53,15,66,75.67034649152643,68.06204062418394,69.11788034887269,60.650919370546035,768.0,41.0,23.0,30.0,23.0,3376.0,1.48,28.88,2375.96,3
10,1.12803738317757,62,18,33,-68.46090693938895,-34.503319144114585,-77.10527729291653,94.68842319072581,3474.0,50.0,22.0,27.0,16.0,3369.0,1.41,28.42,2373.57,4
11,1.436448598130841,31,20,38,-34.64800146684701,157.85962687900525,-77.10527729291653,94.68842319072581,5607.0,50.0,22.0,27.0,16.0,3369.0,1.63,17.18,2371.27,4
12,1.791588785046729,56,15,59,-79.84566838355614,157.33346556294617,-77.10527729291653,94.68842319072581,1351.0,50.0,22.0,27.0,16.0,3369.0,2.53,25.33,2370.54,4
13,2.3429906542056074,76,17,47,-72.17980135260493,159.5728837774006,-77.10527729291653,94.68842319072581,1875.0,50.0,22.0,27.0,16.0,3369.0,2.01,33.47,2374.17,4
14,1.8107438016528925,30,20,30,-32.83917043909918,-109.60100147856974,63.24689495353044,-87.86374550916128,10856.0,56.0,15.0,23.0,23.0,3371.0,0.65,16.0,2377.15,5
15,1.819622641509434,34,12,66,83.24177028935159,94.24500286809871,69.11788034887269,60.650919370546035,1744.0,41.0,23.0,30.0,23.0,3376.0,1.48,19.24,2373.08,3
16,2.269245283018868,28,11,11,22.683310360913595,86.56332073723144,69.11788034887269,60.650919370546035,5448.0,41.0,23.0,30.0,23.0,3376.0,0.25,16.18,2375.2,3
17,2.0586776859504132,98,11,51,44.75214852965772,-5.607416962725921,63.24689495353044,-87.86374550916128,5314.0,56.0,15.0,23.0,23.0,3371.0,1.11,39.77,2381.26,5
18,2.7822429906542054,45,16,91,-35.97287237942133,114.17947119233395,-77.10527729291653,94.68842319072581,4673.0,50.0,22.0,27.0,16.0,3369.0,3.9,21.42,2372.71,4
19,2.379245283018868,77,20,14,-2.9904541245313965,18.443880229005885,69.11788034887269,60.650919370546035,8627.0,41.0,23.0,30.0,23.0,3376.0,0.31,41.42,2388.49,3
20,3.6327102803738316,86,19,68,-55.39928115765977,-165.6487496078215,-77.10527729291653,94.68842319072581,4296.0,50.0,22.0,27.0,16.0,3369.0,2.91,37.81,2378.59,4
21,4.2682242990654204,61,17,57,-49.63425939103957,14.448065038655898,-77.10527729291653,94.68842319072581,4436.0,50.0,22.0,27.0,16.0,3369.0,2.44,27.77,2374.58,4
22,4.800934579439252,64,13,28,-83.01051317033507,-124.82043173557435,-77.10527729291653,94.68842319072581,2091.0,50.0,22.0,27.0,16.0,3369.0,1.2,27.83,2371.88,4
23,2.4801652892561985,79,10,75,-30.24673158055986,-155.09938063181576,63.24689495353044,-87.86374550916128,11944.0,56.0,15.0,23.0,23.0,3371.0,1.63,32.32,2385.06,5
24,2.489245283018868,61,17,99,41.17398697556703,164.51731306338763,69.11788034887269,60.650919370546035,6291.0,41.0,23.0,30.0,23.0,3376.0,2.22,33.16,2383.42,3
25,3.1,48,10,17,-4.730828829433705,167.6891016180856,63.24689495353044,-87.86374550916128,11196.0,56.0,15.0,23.0,23.0,3371.0,0.37,20.54,2379.22,5
26,5.062616822429906,55,19,67,-45.67008870296926,52.09940167078429,-77.10527729291653,94.68842319072581,3969.0,50.0,22.0,27.0,16.0,3369.0,2.87,26.03,2373.54,4
27,3.1300196030384706,75,13,93,-9.281162076151631,45.068940447693336,69.11788034887269,60.650919370546035,8801.0,41.0,23.0,30.0,23.0,3376.0,2.08,38.4,2387.99,3
28,3.2404958677685953,71,20,23,45.529387845622296,88.72686679247244,63.24689495353044,-87.86374550916128,7915.0,56.0,15.0,23.0,23.0,3371.0,0.5,31.58,2380.4,5
29,3.4305785123966945,87,15,73,-36.09957466468872,-19.53875982358383,63.24689495353044,-87.86374550916128,12572.0,56.0,15.0,23.0,23.0,3371.0,1.59,36.51,2387.35,5
30,5.688785046728971,54,14,14,-20.72975424988536,139.78023417823596,-77.10527729291653,94.68842319072581,6727.0,50.0,22.0,27.0,16.0,3369.0,0.6,24.3,2374.93,4
31,3.7339157069345745,12,19,13,72.34100139727519,35.88938483745733,69.11788034887269,60.650919370546035,968.0,41.0,23.0,30.0,23.0,3376.0,0.29,11.22,2368.74,3
32,4.033884297520661,68,17,44,11.392314000927485,-131.01939214157397,63.24689495353044,-87.86374550916128,6684.0,56.0,15.0,23.0,23.0,3371.0,0.96,29.75,2378.57,5
33,5.819626168224298,10,13,96,-81.90074595823252,-126.45184342715326,-77.10527729291653,94.68842319072581,2192.0,50.0,22.0,27.0,16.0,3369.0,4.11,7.31,2364.65,4
34,4.397520661157024,75,16,25,23.2378340995959,-104.63658516695533,63.24689495353044,-87.86374550916128,4620.0,56.0,15.0,23.0,23.0,3371.0,0.54,32.18,2377.35,5
35,3.8439157069345744,99,17,50,68.54564260049119,-10.40603065242766,69.11788034887269,60.650919370546035,2694.0,41.0,23.0,30.0,23.0,3376.0,1.12,50.64,2386.49,3
36,6.716822429906541,71,10,11,-77.73046729855838,-168.614604771893,-77.10527729291653,94.68842319072581,2083.0,50.0,22.0,27.0,16.0,3369.0,0.47,29.68,2372.4,4
