TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterLatitude,DataCenterLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1,0.1,78,14,66,17.773670230939274,-31.08917375907896,74.17352985627201,3.8333252049254725,6622.0,48.0,15.0,26.0,27.0,3362.0,1.11,36.4,2374.92,3
2,0.1,88,13,71,-20.493540151837493,0.5303061455828697,-74.18907544438073,-68.48584252741054,7188.0,42.0,20.0,22.0,17.0,3366.0,1.3,35.42,2377.95,5
3,0.44375,74,14,61,49.239809236663405,48.28324393355143,74.17352985627201,3.8333252049254725,3463.0,48.0,15.0,26.0,27.0,3362.0,1.03,34.72,2371.06,3
4,0.7614583333333333,57,15,79,70.53565650968889,63.917982825587075,74.17352985627201,3.8333252049254725,1972.0,48.0,15.0,26.0,27.0,3362.0,1.33,27.84,2366.91,3
5,0.1,71,11,12,-13.38544342252618,-55.75510685485895,-46.411964600904724,27.577266332250304,8426.0,56.0,19.0,30.0,28.0,3352.0,0.24,36.67,2369.57,4
6,0.6259259259259259,85,19,70,-19.139677826390198,-169.42209881776992,-74.18907544438073,-68.48584252741054,8288.0,42.0,20.0,22.0,17.0,3366.0,1.28,35.63,2379.12,5
7,0.21000000000000002,41,16,28,25.168207499952686,-63.791160865992325,-46.411964600904724,27.577266332250304,12102.0,56.0,19.0,30.0,28.0,3352.0,0.56,24.07,2368.3,4
8,0.33612612612612613,23,19,97,-60.138486920442475,-61.74455428529561,-46.411964600904724,27.577266332250304,5647.0,56.0,19.0,30.0,28.0,3352.0,1.94,16.51,2359.23,4
9,0.773063063063063,36,11,67,-61.68033622655296,75.94010783062657,-46.411964600904724,27.577266332250304,3474.0,56.0,19.0,30.0,28.0,3352.0,1.34,20.22,2358.36,4
10,1.1729166666666666,84,14,27,57.90056931594927,-65.63518868434912,74.17352985627201,3.8333252049254725,3338.0,48.0,15.0,26.0,27.0,3362.0,0.46,38.92,2372.44,3
11,1.1444444444444444,44,11,40,-21.32411913523525,-48.713675274979835,-74.18907544438073,-68.48584252741054,5997.0,42.0,20.0,22.0,17.0,3366.0,0.73,18.7,2369.9,5
12,1.3135416666666666,30,19,56,25.786762632297297,49.77877836456469,74.17352985627201,3.8333252049254725,5992.0,48.0,15.0,26.0,27.0,3362.0,0.94,17.54,2366.69,3
13,1.0748648648648649,17,14,15,15.702297641121618,-11.100335005433692,-46.411964600904724,27.577266332250304,7917.0,56.0,19.0,30.0,28.0,3352.0,0.3,12.19,2359.28,4
14,1.4407407407407407,59,20,18,-13.505715314045318,-116.47253051702096,-74.18907544438073,-68.48584252741054,7371.0,42.0,20.0,22.0,17.0,3366.0,0.33,26.23,2374.16,5
15,1.574074074074074,72,19,83,-89.06682677665654,136.96642419430816,-74.18907544438073,-68.48584252741054,1852.0,42.0,20.0,22.0,17.0,3366.0,1.52,30.82,2370.84,5
16,1.184864864864865,13,10,82,-14.052922180980673,60.44193123397133,-46.411964600904724,27.577266332250304,4722.0,56.0,19.0,30.0,28.0,3352.0,1.64,9.11,2355.26,4
17,1.6052083333333333,93,18,86,66.0992895811282,104.27413890898208,74.17352985627201,3.8333252049254725,3417.0,48.0,15.0,26.0,27.0,3362.0,1.45,43.74,2374.75,3
18,2.1888888888888887,30,11,69,-78.38413757268712,-128.37666615367752,-74.18907544438073,-68.48584252741054,1564.0,42.0,20.0,22.0,17.0,3366.0,1.26,13.52,2363.55,5
19,2.053125,74,19,34,74.57324372396522,142.78634431240977,74.17352985627201,3.8333252049254725,3249.0,48.0,15.0,26.0,27.0,3362.0,0.57,36.02,2371.23,3
20,1.5542342342342343,37,18,54,-27.700373125310463,141.62465183780648,-46.411964600904724,27.577266332250304,9446.0,56.0,19.0,30.0,28.0,3352.0,1.08,22.79,2365.29,4
21,1.7974774774774775,36,10,98,23.47739342296336,86.6015339802089,-46.411964600904724,27.577266332250304,9772.0,56.0,19.0,30.0,28.0,3352.0,1.96,19.92,2364.73,4
22,2.6999999999999997,12,16,73,-19.128628816389224,-109.00181329665791,-74.18907544438073,-68.48584252741054,6590.0,42.0,20.0,22.0,17.0,3366.0,1.34,7.96,2366.38,5
23,2.2302083333333336,47,19,77,-0.7366366272427882,132.31509297809203,74.17352985627201,3.8333252049254725,11173.0,48.0,15.0,26.0,27.0,3362.0,1.3,24.68,2374.84,3
24,2.63125,59,17,98,36.88624111853076,129.36756075070986,74.17352985627201,3.8333252049254725,7028.0,48.0,15.0,26.0,27.0,3362.0,1.65,29.2,2372.6,3
25,3.1416666666666666,11,18,23,84.35171962488437,27.667741689074433,74.17352985627201,3.8333252049254725,1211.0,48.0,15.0,26.0,27.0,3362.0,0.39,9.3,2358.45,3
26,2.238918918918919,65,14,100,38.819217386697545,49.094953372652185,-46.411964600904724,27.577266332250304,9716.0,56.0,19.0,30.0,28.0,3352.0,2.0,34.75,2370.62,4
27,3.2407407407407405,48,13,76,46.793449110083515,153.12462584183066,-74.18907544438073,-68.48584252741054,16370.0,42.0,20.0,22.0,17.0,3366.0,1.39,20.62,2381.24,5
28,3.8037037037037034,25,11,98,-61.48147724886916,-136.7912253472476,-74.18907544438073,-68.48584252741054,2966.0,42.0,20.0,22.0,17.0,3366.0,1.79,11.67,2364.37,5
29,4.529629629629629,21,20,82,-82.35542877618266,169.77223034440448,-74.18907544438073,-68.48584252741054,2317.0,42.0,20.0,22.0,17.0,3366.0,1.5,12.17,2363.84,5
30,3.261458333333333,68,18,91,87.6367614905063,-145.00743172456293,74.17352985627201,3.8333252049254725,1989.0,48.0,15.0,26.0,27.0,3362.0,1.53,33.24,2369.14,3
31,2.6893693693693694,73,19,34,-50.8534581326097,157.4556735622918,-46.411964600904724,27.577266332250304,8181.0,56.0,19.0,30.0,28.0,3352.0,0.68,40.01,2370.79,4
32,2.842522522522523,22,17,12,12.66114194213749,152.1356759125856,-46.411964600904724,27.577266332250304,13644.0,56.0,19.0,30.0,28.0,3352.0,0.24,15.44,2366.29,4
33,2.9525225225225227,32,17,58,-47.43135277006998,-34.572521792930615,-46.411964600904724,27.577266332250304,4591.0,56.0,19.0,30.0,28.0,3352.0,1.16,20.14,2359.4,4
34,3.7354166666666666,11,17,15,78.3610330375945,-164.5244131618253,74.17352985627201,3.8333252049254725,3038.0,48.0,15.0,26.0,27.0,3362.0,0.25,9.04,2360.13,3
35,5.137037037037037,52,12,50,-68.98166142253032,96.14069640659176,-74.18907544438073,-68.48584252741054,4057.0,42.0,20.0,22.0,17.0,3366.0,0.91,21.88,2369.28,5
36,3.213783783783784,79,16,24,21.62060600622533,20.21885459400076,-46.411964600904724,27.577266332250304,7601.0,56.0,19.0,30.0,28.0,3352.0,0.48,41.93,2370.92,4
37,5.507407407407407,87,13,50,-10.648746322550949,-120.51845923059987,-74.18907544438073,-68.48584252741054,7780.0,42.0,20.0,22.0,17.0,3366.0,0.91,35.05,2378.27,5
38,3.8454166666666665,95,13,63,9.556947087300074,121.66636470240746,74.17352985627201,3.8333252049254725,9789.0,48.0,15.0,26.0,27.0,3362.0,1.06,43.28,2380.82,3
39,3.323783783783784,40,12,83,-1.4160546931261564,163.24963965723606,-46.411964600904724,27.577266332250304,13162.0,56.0,19.0,30.0,28.0,3352.0,1.66,22.4,2369.02,4
