TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,CpuTime,StartExecTime,getFinishTime,DataCenterID,VmID
1,73,20,24,3.388500389,45.0,3.3781773781773783,0.1,3.4781773781773784,3,2
2,33,19,19,3.588795518,83.0,1.255486542443064,0.1,1.355486542443064,4,6
3,98,10,12,2.850740741,71.0,1.6360073260073267,3.4781773781773784,5.114184704184705,3,2
4,68,20,20,7.574646465,99.0,2.1903651903651906,0.1,2.2903651903651907,3,3
5,76,13,21,3.588795518,62.0,0.8840579710144927,0.1,0.9840579710144927,4,10
6,13,17,25,1.227241379,31.0,0.8350278086763069,0.1,0.9350278086763069,5,13
7,80,17,19,1.111111111,10.0,1.4125874125874127,0.1,1.5125874125874128,3,5
8,61,19,24,2.228339307,56.0,1.365486542443064,0.1,1.465486542443064,4,7
9,84,11,23,4.447219447,58.0,4.585613275613277,0.1,4.685613275613276,3,1
10,82,20,15,5.155956323,88.0,0.5870967741935483,0.1,0.6870967741935483,5,11
11,42,18,12,3.002534503,76.0,0.40044493882091214,0.9350278086763069,1.335472747497219,5,13
12,38,12,25,6.029082029,79.0,1.4283790037754232,1.465486542443064,2.8938655462184872,4,7
13,97,15,18,4.48353236,86.0,1.9644788544788545,2.2903651903651907,4.254844044844045,3,3
14,19,11,18,3.098671775,90.0,0.7583759733036708,0.6870967741935483,1.445472747497219,5,11
15,49,13,18,2.343766234,31.0,0.6970967741935483,0.1,0.7970967741935483,5,12
16,42,15,23,7.49972139,98.0,0.9596894409937887,0.9840579710144927,1.9437474120082814,4,10
17,10,16,19,2.266666667,34.0,-1.0,0.0,-1.0,-1,15
18,44,16,13,0.84,21.0,1.1818181818181819,0.1,1.281818181818182,3,4
19,69,11,22,3.28353236,50.0,1.9106449106449108,1.281818181818182,3.192463092463093,3,4
20,45,14,12,2.960740741,91.0,0.3870967741935484,0.1,0.48709677419354835,5,14
21,70,12,14,3.94982684,51.0,0.7900121146856911,2.8938655462184872,3.6838776609041783,4,7
22,69,11,25,3.908278304,75.0,2.1944488844488848,3.192463092463093,5.3869119769119775,3,4
23,82,16,14,0.746564496,19.0,0.7807843137254888,3.6838776609041783,4.464661974629667,4,7
24,71,11,11,5.961926962,78.0,-1.0,0.0,-1.0,-1,15
25,84,11,19,2.740949203,68.0,1.3030848861283644,1.355486542443064,2.6585714285714284,4,6
26,91,20,20,4.182958611,63.0,2.157708957708958,4.254844044844045,6.412553002553003,3,3
27,99,12,10,3.596736597,47.0,0.33111111111111136,1.335472747497219,1.6665838586083304,5,13
28,62,15,22,3.424866514,52.0,1.2760379208891797,4.464661974629667,5.740699895518847,4,7
29,66,20,21,2.378148148,60.0,0.759487084414782,0.7970967741935483,1.5565838586083303,5,12
30,72,12,16,2.553224553,34.0,3.136729936729936,4.685613275613276,7.822343212343212,3,1
31,40,17,17,6.655454545,87.0,0.6273237753882914,1.6665838586083304,2.293907633996622,5,13
