,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterID
0,85,20,18,-81.89765706,161.4646068,3
1,15,12,32,-9.984804946,-97.54879466,3
2,23,10,51,-45.31494915,39.92715707,4
3,99,18,37,67.63216061,6.64775342,3
4,62,13,84,29.6032206,141.1436599,5
5,35,16,67,-87.85516802,164.7491499,4
6,60,16,76,80.78410228,101.4440395,3
7,71,17,20,-65.91079647,87.0777088,5
8,95,12,87,63.23874977,-111.7756671,5
9,58,19,86,-79.29927478,24.63350414,4
10,41,15,27,-5.383386647,74.75684406,3
11,30,10,62,0.398730635,-80.76567548,3
12,94,11,77,-69.85491714,-52.31298087,5
13,98,18,82,82.45214784,128.1066249,4
14,53,13,55,62.39864509,-0.111675413,5
15,95,15,17,-42.63451017,-20.91652816,4
16,99,10,81,-30.75082217,-24.84132555,3
17,33,12,79,-5.122645021,-127.4468584,5
18,67,12,77,-31.01726003,163.8158065,4
19,70,12,63,44.68078314,92.40994842,3
20,100,10,66,-35.45132397,-148.1118645,3
21,57,11,44,34.01704684,-117.1044471,5
22,64,16,56,-59.38101453,-56.20235219,5
23,37,19,90,-24.02693383,-21.14691322,4
24,99,13,28,23.73186014,131.5719082,5
25,85,20,64,37.23247015,-59.84797301,3
26,50,20,33,68.05767628,-28.02761148,4
27,61,11,42,54.4093501,159.3321564,3
28,36,19,44,-36.30670088,118.7314951,5
29,76,17,78,-29.69568713,-138.3339841,4
30,92,15,63,-27.86767245,159.0311067,4
31,55,14,37,-43.19356914,-68.0325736,3
32,53,13,82,56.47496381,-66.04691384,3
33,28,17,86,67.46130189,-128.4351417,5
34,15,13,50,-6.323772648,-93.80501647,5
35,58,11,14,-81.30546443,-51.21512663,4
36,78,10,19,67.18652897,-1.295194159,3
37,12,13,11,-9.374984071,13.04936887,3
38,81,10,29,23.75172274,-137.239433,5
39,35,17,27,-15.67212404,158.6540821,4
40,99,16,41,73.73968419,-112.6035316,3
41,24,11,15,-5.223711218,-16.09455888,3
42,100,12,37,76.465234,103.1381261,5
43,93,13,72,27.42597513,-37.30712555,4
44,46,10,11,-66.44038238,5.91110435,3
45,48,12,41,52.96080126,-161.7375425,4
46,72,20,56,53.18379357,-100.0121744,3
47,71,17,72,35.20270073,91.96694965,5
48,43,10,16,61.98595915,-10.78403282,4
49,34,14,82,6.667214449,176.5032212,4
50,46,13,81,0.846445424,-23.51962343,3
51,71,15,78,-64.81327994,58.5788271,5
52,41,19,79,57.30017759,-133.0998014,5
53,25,19,35,-33.64556996,-81.67444589,4
54,45,11,15,10.59790251,-5.380756162,5
55,25,20,40,-22.55711341,-169.0208094,3
56,84,17,41,9.470126399,-12.04702579,4
57,29,15,39,-12.65431957,-46.17015216,5
58,71,14,97,39.5669744,-75.9035568,3
59,91,17,14,-29.86777171,-110.754317,3
60,76,14,100,88.67490686,-102.2796661,4
61,45,12,68,42.07457444,79.62771271,5
62,99,14,86,43.78983943,113.1674542,3
63,61,15,45,-27.40064769,-40.29355507,4
64,17,10,58,-74.69327262,1.794486412,5
65,72,17,35,-32.83505575,34.95071995,3
66,67,10,10,-29.45382014,128.1098589,4
67,51,14,76,69.41718089,-47.07207097,4
68,96,17,54,67.51540737,-21.4741657,5
69,39,20,53,50.83790305,-111.4745189,3
70,72,13,51,66.46505383,11.64393041,5
71,66,10,63,86.26332476,-49.71421498,4
72,90,12,61,-34.85527542,-36.48615817,3
73,54,20,41,-24.64546409,40.08236376,4
74,77,20,37,-13.20730372,9.161777825,3
75,75,17,53,77.99117499,56.55010443,5
76,15,14,67,54.4048605,-46.67983804,4
77,19,20,32,60.26968232,168.9773758,4
78,86,12,14,-25.86161979,-179.9706025,5
79,11,12,72,-54.39237614,-2.464694787,3
80,11,18,22,-79.87462465,-36.92934983,4
81,82,14,10,-7.456527252,157.0803735,4
82,30,11,99,-48.95822981,-113.289547,5
83,11,13,42,-50.86490537,-114.0226118,3
84,28,16,58,0.56760627,5.31704532,3
85,64,15,23,-13.96686349,55.3393383,4
86,47,11,97,-35.01688696,-89.36020862,5
87,82,11,29,71.28949146,-5.555125162,5
88,13,15,23,-45.82093357,-0.983668044,3
89,20,16,24,46.43744769,-107.748487,5
90,40,17,13,69.50782771,-109.3176093,5
91,63,18,47,37.80747515,1.269045602,4
92,46,12,48,69.48209497,29.62033594,3
93,61,20,36,28.18499261,-140.2232401,5
94,23,20,30,51.99305634,-75.58667664,4
95,12,19,40,-18.68521183,-87.0724499,3
96,58,16,44,-27.91649862,-115.3400594,4
97,55,12,78,-45.82091581,113.7925007,3
98,76,19,24,85.86230093,45.87941901,3
99,76,12,12,-12.47277281,5.576850899,3
100,74,11,58,48.95756896,40.24066452,5
101,65,15,98,56.82203217,132.3324389,4
102,65,18,20,-35.13882243,9.887073733,3
103,99,11,70,25.4739563,-4.779709143,5
104,100,14,38,-27.57751654,144.6945848,4
105,73,14,38,44.32319901,-124.3574996,4
106,79,11,34,70.47682158,2.232788538,3
107,46,16,42,31.31847791,-176.549753,5
108,72,12,73,-52.07344617,56.9033963,3
109,90,14,46,35.89638098,117.2337739,5
110,98,12,42,70.05413796,91.66002336,3
111,30,18,12,-2.421502011,149.8844314,5
112,51,15,85,-30.0149151,9.470337973,5
113,48,14,46,47.35041674,-41.08840298,4
114,99,17,56,-45.93854901,-39.63129938,3
115,89,19,23,-34.96174618,-38.33955079,5
116,84,15,64,-39.54376924,-106.8046616,5
117,100,17,84,26.18119211,137.1815655,4
118,17,19,57,81.7410066,76.21350035,4
119,74,12,31,77.09372291,161.6449229,3
120,67,15,23,-79.70094042,58.02515383,4
121,85,18,73,24.15782827,-170.6717168,3
122,78,19,41,85.02206984,-65.57258982,4
123,100,11,72,35.72519598,-114.8706749,3
124,27,13,77,17.80816595,-76.88671887,5
125,63,17,77,-78.96511652,-29.16623108,4
126,98,11,49,-10.37369308,-155.0225519,3
127,48,13,50,-61.91172743,-29.91616021,3
128,36,12,84,50.75360201,-165.8154217,5
129,56,10,97,2.986586603,38.6399696,5
130,59,20,93,-78.974391,-139.5471275,4
131,81,12,44,69.3812349,103.4816209,3
132,64,16,24,-34.00192536,74.25615706,5
133,15,15,61,-29.55798238,-71.44971063,4
134,47,19,88,-13.0773531,-39.03211,3
135,92,19,81,-14.83930945,81.24655099,5
136,29,19,16,80.11475479,10.37054184,5
137,51,17,54,27.24557145,-45.05933804,4
